# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
   1.07343690140889E-04      4.10560800530705E+23     -4.50103078319998E+21      2.34399254730707E+19      4.16042624147314E+23      4.38940884503502E+10      1.30739869228530E+07      1.29221417641288E+16      1.32223098926000E+13      6.53086562546351E+04      0.00000000000000E+00
   1.07343690145550E-04      3.58977045220371E+23     -4.19206733836465E+21      2.34399505822532E+19      3.63896526281290E+23      4.38945272375278E+10      1.26488659824915E+07      1.29221195138854E+16      1.31885375064235E+13      6.53096660207802E+04      0.00000000000000E+00
   1.07343690151158E-04      3.07020951556339E+23     -3.83055356853045E+21      2.34399759487605E+19      3.11355818751804E+23      4.38950556315475E+10      1.23898656692653E+07      1.29220852717361E+16      1.32304635036712E+13      6.53104724932342E+04      0.00000000000000E+00
   1.07343690158024E-04      2.55689469308281E+23     -3.34065821067179E+21      2.34400011432084E+19      2.59422198129667E+23      4.38956968509503E+10      1.21758205894990E+07      1.29220353008303E+16      1.32932520897650E+13      6.53113089589131E+04      0.00000000000000E+00
   1.07343690166620E-04      2.06238119844137E+23     -2.76533677988332E+21      2.34400256169323E+19      2.09359589015120E+23      4.38964825022319E+10      1.19799448441958E+07      1.29219646996895E+16      1.33622352022690E+13      6.53122547041081E+04      0.00000000000000E+00
   1.07343690177715E-04      1.60195443194651E+23     -2.15618543739370E+21      2.34400486930444E+19      1.62708414876000E+23      4.38974577699677E+10      1.18040562545223E+07      1.29218668407837E+16      1.34342360349355E+13      6.53133536762946E+04      0.00000000000000E+00
   1.07343690192656E-04      1.19339597678727E+23     -1.51524456339837E+21      2.34400695768731E+19      1.21262820211453E+23      4.38986918124767E+10      1.16613201322026E+07      1.29217323418085E+16      1.35095277799725E+13      6.53146547498980E+04      0.00000000000000E+00
   1.07343690214067E-04      8.55447577827757E+22     -9.00944117364667E+20      2.34400874115008E+19      8.69192494566024E+22      4.39003011732610E+10      1.15778052434592E+07      1.29215469270996E+16      1.35909150586388E+13      6.53162331303539E+04      0.00000000000000E+00
   1.07343690247902E-04      6.03066539855016E+22     -3.84158451670075E+20      2.34401014194377E+19      6.12022229860943E+22      4.39025103483658E+10      1.16128091897426E+07      1.29212863563337E+16      1.36865349263462E+13      6.53182198833387E+04      0.00000000000000E+00
   1.07343690311156E-04      4.34933205143439E+22     -3.37590481345254E+19      2.34401111121223E+19      4.40110600941754E+22      4.39058340384886E+10      1.19488238260918E+07      1.29209036332329E+16      1.38201384148068E+13      6.53208547207662E+04      0.00000000000000E+00
   1.07343690437665E-04      3.22767523738347E+22      8.84689558536062E+19      2.34401158016069E+19      3.25549912246958E+22      4.39106490134459E+10      1.30204597769656E+07      1.29204041402300E+16      1.40285712054558E+13      6.53239396278978E+04      0.00000000000000E+00
   1.07343690690682E-04      2.14539356362107E+22      6.96425198851068E+19      2.34401161169923E+19      2.15929303301243E+22      4.39167035358197E+10      1.54232980687680E+07      1.29199331682458E+16      1.43868103637178E+13      6.53265565391760E+04      0.00000000000000E+00
   1.07343691196716E-04      1.06957986262179E+22      2.55387274046318E+19      2.34401142239530E+19      1.07457952617760E+22      4.39231065496283E+10      1.94784884570484E+07      1.29198167126683E+16      1.51036094220915E+13      6.53276164589905E+04      0.00000000000000E+00
   1.07343692208785E-04      3.52413795363909E+21      3.58361304283833E+18      2.34401126873687E+19      3.52297648177020E+21      4.39294318819101E+10      2.52353657883277E+07      1.29204975175901E+16      1.66484437419145E+13      6.53266784522741E+04      0.00000000000000E+00
   1.07343694232922E-04      7.26600296036746E+20     -9.57438970936744E+17      2.34401120964472E+19      7.03916010195147E+20      4.39375312423662E+10      3.39472140482359E+07      1.29224783873719E+16      1.98937077876058E+13      6.53237491680695E+04      0.00000000000000E+00
   1.07343695542541E-04      2.31754538167475E+20     -6.23766209163838E+17      2.34401119590093E+19      2.04276266240565E+20      4.39422924187786E+10      3.91741472563052E+07      1.29238210705682E+16      2.20208845438752E+13      6.53218432032233E+04      0.00000000000000E+00
   1.07343697823870E-04      7.35905034838001E+19      3.71906503871406E+17      2.34401118468375E+19      4.35869076198009E+19      4.39503498522004E+10      4.79948332042537E+07      1.29261824058142E+16      2.57502196987382E+13      6.53186088079233E+04      0.00000000000000E+00
   1.07343702386529E-04      3.85221455226402E+19      1.27877580380923E+18      2.34401117632185E+19      7.29436832432076E+18      4.39663615871329E+10      6.55334881396689E+07      1.29308958487400E+16      3.32456929237402E+13      6.53121579262458E+04      0.00000000000000E+00
   1.07343711511847E-04      3.32612188945319E+19      1.64623873525277E+18      2.34401117449039E+19      1.62441105717277E+18      4.39982409059781E+10      1.00804189220705E+08      1.29402752697125E+16      4.83457991720772E+13      6.52987498448014E+04      0.00000000000000E+00
   1.07343729762483E-04      3.25384023323806E+19      1.72055709913952E+18      2.34401117992200E+19      8.21373909373813E+17      4.40614305926511E+10      1.72275951752028E+08      1.29588627832238E+16      7.89501666297902E+13      6.52695140483673E+04      0.00000000000000E+00
   1.07343766263754E-04      3.24217549373015E+19      1.72902714051645E+18      2.34401119442379E+19      6.96127010845491E+17      4.41854843947669E+10      3.18669716416653E+08      1.29953529838558E+16      1.41637758526075E+14      6.52016480057764E+04      0.00000000000000E+00
