# time[s]                    Y( ac225 )                  Y( fr221 )
 1.1487226428870270E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1489095729168788E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1490964739117298E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1492833473095865E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1494701944806691E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1496570167318367E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1498438153106822E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1500305914093261E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1502173461679328E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1504040806779754E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1505907959852681E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1507774930927857E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1509641729632880E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1511508365217649E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1513374846577151E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1515241182272746E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1517107380552025E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1518973449367398E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1520839396393465E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1522705229043306E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1524570954483728E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1526436579649586E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1528302111257216E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1530167555817066E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1532032919645565E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1533898208876310E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1535763429470585E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1537628587227300E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1539493687792350E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1541358736667462E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1543223739218560E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1545493999270797E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1547764038870196E+00      0.0000000000000000E+00      0.0000000000000000E+00
 1.1550033870459562E+00      0.0000000000000000E+00      0.0000000000000000E+00
