,Label,Author,Title,Publisher,Year,URL
58,si13,A. Simon et al.,"Systematic study of (p,&gamma;) reactions on Ni isotopes","Phys. Rev. C 87, 055802",2013,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=si13
59,sa12,Sauerwein et al,"Investigation of the reaction 74Ge( p,&gamma;)75As using the in-beam method to improve reaction network predictions for p nuclei","PHYSICAL REVIEW C 86, 035802",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=sa12
60,ks12,-,Investigation of $alpha;-induced reactions on 127I for the astrophysical &gamma; process,"PHYSICAL REVIEW C 86, 035801",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ks12
61,hg12,"HalÃ¡sz, Z. et al",Investigation of &alpha;-induced reactions on 130Ba and 132Ba and their importance for the synthesis of heavy p nuclei,"Phys. Rev. C 85, 025804",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=hg12
62,rk12,"Rauscher, T","Astrophysical analysis of the measurement of (&alpha;,&gamma;) and (&alpha;,n) cross sections of 169Tm","PRC 86, 015804",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=rk12
63,pkrF,"Panov, I.V.",FRDM Neutron-induced astrophysical reaction rates,"Astron. Astrophys. 513, A69",2010,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=pkrF
64,ac12,"Arnold, C.W.","Cross Section Measurement of 9Be(&gamma;,n)8Be and Implications for &alpha;+&alpha;+n -> 9Be in the r-Process","PRC 85,4",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ac12
65,fy05,H.O.U. Fynbo et al,Revised rates for the stellar triple-a process from measurement of 12C nuclear resonances,"Nature 433, 136-139",2005,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=fy05
66,bet+,-,experimental beta-plus rates,-,-,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bet+
67,pt05,R.G. Pizzone et al.,"Trojan Horse estimate of bare nucleus astrophysical S(E)-factor for the 6Li(p,&alpha;)","A & A 438, 779-784",2005,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=pt05
