,Label,Author,Title,Publisher,Year,URL
24,lg06,Z.H. Li et al.,"<sup>13</sup>N(d,n)<sup>14</sup>O reaction and the astrophysical <sup>13</sup>N(p,&gamma;)<sup>14</sup>","PRC 74, 035801",2006,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=lg06
25,im05,G. Imbriani et al,"S-factor of <sup>14</sup>N(p,&gamma;)<sup>15</sup>O","European Physics Journal A 25,",2005,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=im05
26,li10,"LeBlanc, P.J.","Constraining the S factor of 15 N( p,&gamma; ) 16 O at astrophysical energies","PRC 82, 055804",2010,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=li10
27,nac2,"Xu, Y. et al.",NACRE2,"Nucl. Phys. A 918, P. 61",2013,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=nac2
28,mp17,-,Neutron-gamma competition for Î²-delayed neutron emission,PRC94 064317,2016,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mp17
29,ia08,"Iliadis, C.","New reaction rate for 16O( p,&gamma;)17F and its influence on the oxygen isotopic ratios in massive AGB stars","PRC77, 045802",2008,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ia08
30,cb09,"Chipps, K.A.","The 17F(p,&gamma;)18Ne resonant cross section","PRC 80, 065810",2009,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=cb09
31,wh87,M.Wiescher,Alpha-burning of O14,"ApJ 316, 162-171",1987,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wh87
32,co10,"Constantini, H. et al","16O(&alpha;,&gamma;)20Ne S factor: Measurements and R-matrix analysis","PRC 82, 035802",2010,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=co10
33,be13,A. Best et al.,"Measurement of the reaction 17O(?,n)20Ne and its impact on the s process in massive stars","PHYSICAL REVIEW C 87, 045805 (2013)",2013,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=be13
34,ly18,S. Lyons et al.,"Determination of 20Ne(p,?)21Na cross sections from Ep=500?2000keV","PHYSICAL REVIEW C 97, 065802 (2018)",2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ly18
35,ke17,K. J. Kelly,"New measurements of low-energy resonances in the 22Ne(p,?)23Na reaction",Phys. Rev. C 95 (2017) 015806,2017,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ke17
36,ku92,"Kubono, S.","Level structure of 21Mg and the 20Na(p,g)21Mg stellar reaction rate","NPA 537, 153",1992,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ku92
37,li12,"Longland, R.",Reaction rates for the s-process neutron source 22Ne + &alpha;,"Phys. Rev. C 85, 065809",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=li12
38,lg18,B. Longfellow et al.,"Measurement of key resonances for the 24Al(p,?)25Si reaction rate using in-beam ?-ray spectroscopy",PRC97 (2018) 054307,2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=lg18
39,li20,P. F. Liang et al.,"Simultaneous measurement of ?-delayed proton and ? emission of 26P for the 25Al(p,?)26Si reaction rate",Phys Rev. C 101 (2020) 024305,2020,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=li20
40,il01,Iliadis C,Proton-induced thermonuclear reaction rates for A=20-40 nuclei,"ApJS 134, 151-171",2001,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=il01
41,st08,E. Strandberg et al.,"Mg24(a,g)Si28 resonance parameters at low alpha-particle energies","PRC 77, 055801",2008,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=st08
42,de20,"J. Dermigny et al.,","Thermonuclear reaction rate of 30Si(p,?)31P","Physical Review C, Volume 102, Issue 1, article id.014609 (2020)",2020,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=de20
43,mb07,"Ma, Z.","Astrophysically important 31S states studied with the 32S( p, d)31S reaction","PRC 76, 015803",2007,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mb07
44,mm11,M. Matos et al.,"Unbound states of 32Cl and the 31S(p,&gamma;)32Cl reaction rate","PRC 84, 055806",2011,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mm11
45,se19,"K. Setoodehnia et al.,","Impact of 16O(?,?)12C measurements on the 12C(?,?)16O astrophysical reaction rate","(2019) Phys.Rev.C 99, 055802",2019,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=se19
46,cn18,D. Connolly et al.,"Direct measurement of resonance strengths in 34S(?,? ) 38Ar at astrophysically relevant energies using the DRAGON recoil separator","Phys. Rev. C 97, 035801 (2018)",2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=cn18
47,lo18,"R. Longland, J. Dermigny, C. Marshall,","Reaction rates for the 39K(p,?)40Ca reaction","Phys. Rev. C 98, 025802 (2018)",2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=lo18
48,SM86,"Sevior, M.E.","Cross Sections for Proton Induced Reactions on <sup>41</sup>K and for the Reaction <sup>62</sup>Ni(&alpha;,p)<sup>65</sup>Cu","NPA 454, 128-142",1986,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=SM86
49,chw0,"Cyburt, R. H.","Re-evaluation of Buchmann 1996 C12(a,g) and Hoffman Ca40(a,g) and Ti44(a,p) rates",REACLIB,2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=chw0
50,si13,A. Simon et al.,"Systematic study of (p,&gamma;) reactions on Ni isotopes","Phys. Rev. C 87, 055802",2013,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=si13
51,la14,C. Langer et al.,"Determining the rp-Process Flow through 56Ni: Resonances in 57Cu(p,?)58Zn Identified with GRETINA","PRL 113, 032502 (2014)",2014,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=la14
52,la16,Y. H. Lam et al.,"REACTION RATES OF 64Ge(p,?)65As AND 65As(p,?)66Se AND THE EXTENT OF NUCLEOSYNTHESIS IN TYPE I X-RAY BURSTS",APJ 818 (2016) 78,2016,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=la16
53,sa12,Sauerwein et al,"Investigation of the reaction 74Ge( p,&gamma;)75As using the in-beam method to improve reaction network predictions for p nuclei","PHYSICAL REVIEW C 86, 035802",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=sa12
54,fo18,V. Foteinou et al.,Cross section measurements of proton capture reactions on Se isotopes relevant to the astrophysical p process,Phys. Rev. C 97 (2018) 035806,2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=fo18
55,fh18,V. Foteinou et al.,Cross section measurements of proton capture reactions on Se isotopes relevant to the astrophysical p process,Phys. Rev. C 97 (2018) 035806,2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=fh18
56,fa18,V. Foteinou et al.,Cross section measurements of proton capture reactions on Se isotopes relevant to the astrophysical p process,Phys. Rev. C 97 (2018) 035806,2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=fa18
57,ks12,-,Investigation of $alpha;-induced reactions on 127I for the astrophysical &gamma; process,"PHYSICAL REVIEW C 86, 035801",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ks12
58,hg12,"HalÃ¡sz, Z. et al",Investigation of &alpha;-induced reactions on 130Ba and 132Ba and their importance for the synthesis of heavy p nuclei,"Phys. Rev. C 85, 025804",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=hg12
59,ac12,"Arnold, C.W.","Cross Section Measurement of 9Be(&gamma;,n)8Be and Implications for &alpha;+&alpha;+n -> 9Be in the r-Process","PRC 85,4",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ac12
60,fy05,H.O.U. Fynbo et al,Revised rates for the stellar triple-a process from measurement of 12C nuclear resonances,"Nature 433, 136-139",2005,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=fy05
61,bet+,-,experimental beta-plus rates,-,-,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bet+
62,gi17,"A. Gomez Inesta, C. Iliadis, A. Coc",Bayesian Estimation of Thermonuclear Reaction Rates for Deuterium+Deuterium Reactions,APJ 849 (2017) 134,2017,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=gi17
63,go17,"A. Gomez Inesta, C. Iliadis, A. Coc",Bayesian Estimation of Thermonuclear Reaction Rates for Deuterium+Deuterium Reactions,APJ 849 (2017) 134,2017,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=go17
64,pt05,R.G. Pizzone et al.,"Trojan Horse estimate of bare nucleus astrophysical S(E)-factor for the 6Li(p,&alpha;)","A & A 438, 779-784",2005,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=pt05
65,mafo,R Malaney,Late-time neutron diffusion and nucleosynthesis in a post-QCD inhomogeneous Omega(b) = 1 universe,"ApJ 333, 14",1988,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mafo
66,db18,L. Damone et al.,"7Be(n,p)7Li Reaction and the Cosmological Lithium Problem: Measurement of the Cross Section in a Wide Energy Range at n_TOF at CERN","PHYSICAL REVIEW LETTERS 121, 042701 (2018)",2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=db18
67,bk91,C.R. Brune,"Cross sections for H3(Li7,n<sub>0</sub>)Be9 and H3(Li7,n<sub>tot</sub>)","PRC 43, 875",1991,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bk91
68,hi09,"Hashimoto, T. et al","A new measurement of the astrophysical Li8(d,t)Li7 reaction","PLB 674, 276",2009,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=hi09
69,ld11,"La Cognata, M.","The 8Li(a,n)11B reaction rate at astrophysical temperatures","ApJ 736, 148",2011,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ld11
70,gl12,Guo et al,"NEW DETERMINATION OF THE 13C(&alpha;,n)16O REACTION RATE AND ITS INFLUENCE ON THE s-PROCESS NUCLEOSYNTHESIS IN AGB STARS",ApJ 756 193,2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=gl12
71,bk92,C.R. Brune,"Total cross sections and thermonuclear reaction rates for C13(d,n) and C14(d,n)","PRC 45, 1382",1992,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bk92
72,kg91,P.E. Koehler,"O17(n,&alpha;)C14 cross section from 25 meV to approximately 1 MeV","PRC 44, 2788",1991,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=kg91
73,wfh,R V Wagoner,On the Synthesis of Elements at Very High Temperatures,"ApJ 148, 3",1967,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wfh
74,Ha96,"Hahn, K I",Structure of 18Ne and the breakout from the hot CNO cycle,"PhRvC 54, 4, p1999-2013",1996,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=Ha96
75,da18,G. D'Agata et al.,"The 19F(?, p)22Ne Reaction at Energies of Astrophysical Relevance by Means of the Trojan Horse Method and Its Implications in AGB Stars",APJ 860 (2018) 11,2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=da18
76,mo14,"P. Mohr, R. Longland,  C. Iliadis,","Thermonuclear reaction rate of 18Ne(?,p)21Na from Monte Carlo calculations","PHYSICAL REVIEW C 90, 065806 (2014)",2014,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mo14
77,rolf,"Hulke, G",Comparison of the fusion reactions 12C + 20Ne and 16O + 16O near the coulomb barrier,"Zeitschrift fur Physik A297, 1",1980,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=rolf
78,SM93,"Scott, A.F.","The <sup>34</sup>S(&alpha;,&gamma;)<sup>38</sup>Ar, <sup>34</sup>S(&alpha;,n)<sup>37</sup>Ar,<sup>34</sup>S(&alpha;,p)<sup>37</sup>Cl cross sections","NPA 552, 363-377",1993,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=SM93
79,ta18,R. Talwar et al.,Experimental study of 38Ar+? reaction cross sections relevant to the 41Ca abundance in the solar system,"PHYSICAL REVIEW C 97, 055801 (2018)",2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ta18
80,tb18,R. Talwar et al.,Experimental study of 38Ar+? reaction cross sections relevant to the 41Ca abundance in the solar system,"PHYSICAL REVIEW C 97, 055801 (2018)",2018,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=tb18
81,SM91,"Scott, A.F.","Cross Sections and Thermonuclear Reaction rates for <sup>41</sup>K(&alpha;,n)<sup>44</sup>Sc and <sup>41</sup>K(&alpha;,p)<sup>44</sup>Ca","NPA 523, 373-385",1991,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=SM91
