time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
0.00013248193592455885,11502991703031.441,435679763073785.56,447182754776817.0
0.00013250523031941444,11501163652208.826,435575081764926.3,447076245417135.1
0.0001325285288101404,11499335279959.11,435470382049897.4,446969717329856.5
0.00013255183139745683,11497506586225.822,435365663925463.44,446863170511689.25
0.00013257513808208413,11495677570952.398,435260927388386.06,446756604959338.44
0.00013259844886474265,11493848234082.326,435156172435427.8,446650020669510.1
0.00013262176374615305,11492018575559.045,435051399063351.4,446543417638910.44
0.00013264508272703586,11490188595326.006,434946607268917.6,446436795864243.6
0.0001326684058081121,11488358293326.627,434841797048887.0,446330155342213.6
0.0001326917329901025,11486527669504.363,434736968400020.8,446223496069525.2
0.00013271506427372826,11484696723802.59,434632121319078.5,446116818042881.06
0.00013273839965971057,11482865456164.752,434527255802817.94,446010121258982.7
0.00013276173914877068,11481033866534.203,434422371847999.0,445903405714533.2
0.0001327850827416301,11479201954854.363,434317469451379.25,445796671406233.6
0.00013280843043901033,11477369721068.594,434212548609715.25,445689918330783.9
0.00013283178224163315,11475537165120.236,434107609319765.2,445583146484885.44
0.00013285513815022035,11473704286952.676,434002651578283.56,445476355865236.25
0.00013287849816549392,11471871086509.23,433897675382028.25,445369546468537.5
0.00013290186228817586,11470037563733.268,433792680727752.8,445262718291486.06
0.0001329252305189885,11468203718568.072,433687667612212.0,445155871330780.06
0.00013294860285865403,11466369550956.986,433582636032159.5,445049005583116.5
0.00013297197930789507,11464535060843.297,433477585984349.25,444942121045192.56
0.00013299535986743407,11462700248170.32,433372517465533.8,444835217713704.1
0.00013301874453799383,11460865112881.318,433267430472465.25,444728295585346.56
0.00013304213332029715,11459029654919.59,433162325001896.1,444621354656815.7
0.00013306552621506707,11457193874228.365,433057201050576.0,444514394924804.4
0.0001330889232230266,11455357770750.928,432952058615257.5,444407416386008.44
0.00013311232434489904,11453521344430.502,432846897692687.75,444300419037118.25
0.00013313572958140765,11451684595210.342,432741718279619.25,444193402874829.56
0.00013315913893327603,11449847523033.656,432636520372797.94,444086367895831.6
0.00013318255240122765,11448010127843.67,432531303968974.4,443979314096818.06
0.0001332059699859864,11446172409583.58,432426069064894.25,443872241474477.8
0.00013322939168827598,11444334368196.592,432320815657306.3,443765150025502.9
0.00013325281750882053,11442496003625.877,432215543742956.1,443658039746582.0
0.00013327624744834408,11440657315814.613,432110253318590.0,443550910634404.6
0.00013329968150757083,11438818304705.975,432004944380953.3,443443762685659.3
0.00013332311968722527,11436981358658.053,431899958872997.56,443336940231655.6
0.00013334656198803177,11435159881698.771,431797215836520.6,443232375718219.4
0.00013337000841071508,11433338084468.299,431694454734680.7,443127792819149.0
0.00013339345895599985,11431515966910.326,431591675564303.4,443023191531213.7
0.00013341691362461102,11429693528968.525,431488878322210.1,442918571851178.6
0.00013344037241727353,11427870770586.566,431386063005223.94,442813933775810.5
0.00013346383533471265,11426047691708.096,431283229610166.1,442709277301874.25
0.00013348730237765347,11424224292276.783,431180378133859.2,442604602426136.0
0.00013351077354682153,11422400572236.236,431077508573122.2,442499909145358.44
0.00013353424884294225,11420576531530.1,430974620924777.25,442395197456307.4
0.00013355772826674134,11418752170102.002,430871715185642.7,442290467355744.7
0.00013358121181894449,11416927487895.531,430768791352537.8,442185718840433.4
0.00013360469950027772,11415102484854.28,430665849422281.1,442080951907135.4
0.00013362819131146691,11413277160921.871,430562889391692.3,441976166552614.2
0.00013365168725323838,11411451516041.832,430459911257585.2,441871362773627.0
0.00013367518732631823,11409625550157.77,430356915016779.9,441766540566937.6
0.00013369869153143305,11407799263213.227,430253900666091.44,441661699929304.7
0.00013372219986930925,11405972655151.758,430150868202335.56,441556840857487.3
0.0001337457123406736,11404145725916.889,430047817622327.44,441451963348244.3
0.00013376922894625285,11402318475452.148,429944748922881.7,441347067398333.8
0.00013379274968677382,11400490903701.076,429841662100813.0,441242153004514.06
0.00013381627456296374,11398663010607.156,429738557152933.2,441137220163540.4
0.00013383980357554962,11396834796113.914,429635434076057.6,441032268872171.56
0.0001338633367252589,11395006260164.787,429532292866996.5,440927299127161.3
0.0001338868740128189,11393177402703.307,429429133522562.06,440822310925265.4
0.00013391041543895732,11391348223672.922,429325956039567.3,440717304263240.25
0.0001339339610044017,11389518723017.082,429222760414820.25,440612279137837.3
0.00013395751070987996,11387688900679.248,429119546645133.5,440507235545812.75
0.00013398106455611997,11385858756602.863,429016314727315.1,440402173483918.0
0.0001340046225438499,11384028290731.324,428913064658174.2,440297092948905.5
0.00013402818467379786,11382197503008.096,428809796434519.9,440191993937528.0
0.00013405175094669222,11380366393376.555,428706510053159.25,440086876446535.8
0.0001340753213632614,11378534961780.098,428603205510900.9,439981740472681.0
0.00013409889592423408,11376703208162.145,428499882804549.8,439876586012711.94
0.00013412247463033886,11374871132466.04,428396541930912.94,439771413063379.0
0.00013414605748230467,11373038734635.174,428293182886796.7,439666221621431.9
0.00013416964448086037,11371206014612.889,428189805669006.94,439561011683619.8
0.0001341932356267352,11369389234849.504,428088689789428.1,439458079024277.6
0.00013421683092065828,11367573930095.71,427987807659275.2,439355381589370.9
0.00013424043036335903,11365758306155.986,427886907790963.25,439252666097119.25
0.00013426403395556686,11363942362974.217,427785990181375.4,439149932544349.56
0.00013428764169801146,11362126100494.273,427685054827390.56,439047180927884.8
0.00013431125359142257,11360309518659.996,427584101725889.7,438944411244549.7
0.00013433486963652992,11358492617415.252,427483130873752.75,438841623491168.0
0.00013435848983406367,11356675396703.87,427382142267857.44,438738817664561.3
0.00013438211418475383,11354857856469.684,427281135905083.2,438635993761552.9
0.00013440574268933076,11353039996656.496,427180111782306.9,438533151778963.4
0.00013442937534852473,11351221817208.139,427079069896405.94,438430291713614.06
0.00013445301216306638,11349403318068.39,426978010244257.3,438327413562325.7
0.00013447665313368618,11347584499181.05,426876932822738.06,438224517321919.1
0.00013450029826111507,11345765360489.889,426775837628722.25,438121602989212.1
0.00013452394754608378,11343945901938.682,426674724659085.44,438018670561024.1
0.00013454760098932346,11342126123471.188,426573593910701.94,437915720034173.1
0.00013457125859156518,11340306025031.156,426472445380446.9,437812751405478.0
0.0001345949203535403,11338485606562.316,426371279065191.6,437709764671753.94
0.00013461858627598013,11336664868008.424,426270094961810.7,437606759829819.1
0.00013464225635961635,11334843809313.162,426168893067176.94,437503736876490.1
0.00013466593060518044,11333022430420.271,426067673378160.5,437400695808580.75
0.0001346896090134044,11331200731273.432,425966435891632.0,437297636622905.44
0.00013471329158501992,11329378711816.338,425865180604465.3,437194559316281.6
0.00013473697832075928,11327556371992.668,425763907513526.56,437091463885519.25
0.00013476066922135448,11325733711746.104,425662616615687.56,436988350327433.7
0.000134784364287538,11323910731020.281,425561307907817.8,436885218638838.1
0.0001348080635200421,11322087429758.873,425459981386784.3,436782068816543.2
0.00013483176691959952,11320263807905.518,425358637049456.7,436678900857362.2
0.00013485547448694287,11318439865403.832,425257274892699.94,436575714758103.75
0.0001348791862228049,11316615602197.443,425155894913383.0,436472510515580.44
0.00013490290212791873,11314791018229.97,425054497108371.0,436369288126601.0
0.00013492662220301725,11312966113445.002,424953081474530.56,436266047587975.56
0.00013495034644883387,11311140887786.125,424851648008724.1,436162788896510.25
0.00013497407486610173,11309315341196.947,424750196707820.7,436059512049017.6
0.00013499780745555452,11307489473621.002,424648727568681.0,435956217042302.0
0.00013502154421792561,11305663285001.871,424547240588169.94,435852903873171.8
0.00013504528515394893,11303852894263.66,424447948247027.06,435751801141290.75
0.00013506903026435816,11302043998632.89,424348887357737.2,435650931356370.06
0.00013509277954988746,11300234784943.115,424249809050518.94,435550043835462.06
0.0001351165330112708,11298425253138.402,424150713322310.2,435449138575448.56
0.0001351402906492425,11296615403162.832,424051600170047.75,435348215573210.56
0.00013516405246453687,11294805234960.459,423952469590668.0,435247274825628.44
0.00013518781845788853,11292994748475.314,423853321581106.44,435146316329581.75
0.00013521158863003197,11291183943651.467,423754156138299.3,435045340081950.75
0.00013523536298170206,11289372820432.906,423654973259180.44,434944346079613.4
0.00013525914151363356,11287561378763.668,423555772940682.5,434843334319446.2
0.00013528292422656165,11285749618587.754,423456555179742.4,434742304798330.1
0.00013530671112122137,11283937539849.168,423357319973291.06,434641257513140.25
0.00013533050219834806,11282125142491.895,423258067318261.5,434540192460753.4
0.0001353542974586771,11280312426459.9,423158797211585.75,434439109638045.6
0.00013537809690294394,11278499391697.16,423059509650196.25,434338009041893.44
0.00013540190053188441,11276686038147.643,422960204631021.06,434236890669168.7
0.00013542570834623412,11274872365755.277,422860882150993.44,434135754516748.7
0.0001354495203467292,11273058374464.008,422761542207042.8,434034600581506.8
0.00013547333653410548,11271244064217.773,422662184796097.2,433933428860314.94
0.00013549715690909934,11269429434960.469,422562809915086.8,433832239350047.25
0.00013552098147244694,11267614486636.021,422463417560939.1,433731032047575.1
0.00013554481022488485,11265799219188.33,422364007730582.3,433629806949770.6
0.00013556864316714953,11263983632561.273,422264580420941.5,433528564053502.75
0.0001355924802999778,11262167726698.736,422165135628946.5,433427303355645.25
0.00013561632162410633,11260351501544.578,422065673351521.6,433326024853066.2
0.00013564016714027224,11258534957042.664,421966193585591.44,433224728542634.1
0.00013566401684921248,11256718093136.85,421866696328083.25,433123414421220.1
0.0001356878707516644,11254900909770.973,421767181575919.75,433022082485690.75
0.00013571172884836524,11253083406888.852,421667649326026.06,432920732732914.94
0.00013573559114005257,11251265584434.318,421568099575324.94,432819365159759.25
0.0001357594576274639,11249447442351.172,421468532320738.25,432717979763089.44
0.00013578332831133707,11247628980583.207,421368947559190.5,432616576539773.7
0.00013580720319240983,11245810199074.238,421269345287601.25,432515155486675.5
0.0001358310822714203,11243991097768.02,421169725502893.25,432413716600661.25
0.0001358549655491065,11242171676608.336,421070088201985.9,432312259878594.2
0.00013587885302620677,11240354115046.602,420970726380023.94,432211080495070.56
0.0001359027447034595,11238551861414.607,420873447943971.8,432111999805386.44
0.00013592664058160306,11236749290891.492,420776152403402.6,432012901694294.1
0.0001359505406613763,11234946403421.514,420678839755306.44,431913786158727.94
0.0001359744449435178,11233143198948.959,420581509996676.94,431814653195625.9
0.0001359983534287666,11231339677418.074,420484163124505.9,431715502801923.94
0.0001360222661178617,11229535838773.13,420386799135782.6,431616334974555.75
0.0001360461830115423,11227731682958.352,420289418027499.75,431517149710458.1
0.00013607010411054757,11225927209917.977,420192019796644.75,431417947006562.75
0.00013609402941561712,11224122419596.227,420094604440208.4,431318726859804.6
0.00013611795892749034,11222317311937.322,419997171955179.3,431219489267116.6
0.00013614189264690704,11220511886885.451,419899722338546.1,431120234225431.56
0.00013616583057460692,11218706144384.822,419802255587295.1,431020961731679.94
0.00013618977271133005,11216900084379.602,419704771698414.4,430921671782794.0
0.00013621371905781637,11215093706813.975,419607270668891.2,430822364375705.2
0.00013623766961480622,11213287011632.1,419509752495711.5,430723039507343.6
0.0001362616243830398,11211479998778.127,419412217175860.06,430623697174638.2
0.00013628558336325772,11209672668196.203,419314664706322.8,430524337374519.0
0.00013630954655620046,11207865019830.473,419217095084083.94,430424960103914.44
0.00013633351396260884,11206057053625.047,419119508306126.8,430325565359751.9
0.0001363574855832236,11204248769524.045,419021904369437.3,430226153138961.4
0.00013638146141878584,11202440167471.562,418924283270994.94,430126723438466.5
0.00013640544147003667,11200631247411.705,418826645007785.06,430027276255196.75
0.00013642942573771722,11198822009288.553,418728989576788.44,429927811586077.0
0.00013645341422256898,11197012453046.18,418631316974986.3,429828329428032.5
0.0001364774069253334,11195202578628.658,418533627199359.9,429728829777988.56
0.0001365014038467522,11193392385980.027,418435920246889.6,429629312632869.6
0.00013652540498756703,11191581875044.348,418338196114554.44,429529777989598.8
0.0001365494103485199,11189771045765.652,418240454799334.75,429430225845100.4
0.00013657341993035275,11187959898087.959,418142696298208.56,429330656196296.5
0.00013659743373380784,11186148431955.295,418044920608154.0,429231069040109.3
0.0001366214517596273,11184336647311.656,417947127726150.3,429131464373462.0
0.00013664547400855378,11182524544101.043,417849317649171.25,429031842193272.3
0.00013666950048132963,11180712122267.447,417751490374196.9,428932202496464.3
0.00013669353117869764,11178899381754.824,417653645898201.4,428832545279956.2
0.00013671756610140058,11177086322507.164,417555784218160.5,428732870540667.7
0.00013674160525018142,11175282978808.4,417459226728593.3,428634509707401.7
0.0001367656486257832,11173486964649.797,417363659226236.4,428537146190886.2
0.00013678969622894918,11171690634697.154,417268074920196.1,428439765554893.25
0.0001368137480604226,11169893988894.945,417172473807517.3,428342367796412.25
0.00013683780412094705,11168097027187.623,417076855885244.75,428244952912432.4
0.000136861864411266,11166299749519.66,416981221150424.2,428147520899943.9
0.00013688592893212334,11164502155835.488,416885569600097.7,428050071755933.2
0.00013690999768426276,11162704246079.547,416789901231309.3,427952605477388.9
0.00013693407066842834,11160906020196.254,416694216041101.75,427855122061298.0
0.0001369581478853642,11159107478130.04,416598514026517.9,427757621504647.94
0.00013698222933581454,11157308619825.295,416502795184599.4,427660103804424.7
0.0001370063150205238,11155509445226.424,416407059512386.56,427562568957613.0
0.00013703040494023643,11153709954277.805,416311307006921.1,427465016961198.94
0.00013705449909569718,11151910146923.816,416215537665241.94,427367447812165.75
0.00013707859748765067,11150110023108.842,416119751484390.5,427269861507499.3
0.00013710270011684195,11148309582777.21,416023948461404.8,427172258044182.0
0.00013712680698401593,11146508825873.283,415928128593324.44,427074637419197.75
0.00013715091808991795,11144707752341.396,415832291877186.6,426976999629528.0
0.0001371750334352931,11142906362125.877,415736438310028.56,426879344672154.44
0.000137199153020887,11141104655171.037,415640567888888.5,426781672544059.56
0.00013722327684744502,11139302631421.19,415544680610802.44,426683983242223.6
0.00013724740491571306,11137500290820.645,415448776472806.06,426586276763626.7
0.00013727153722643677,11135697633313.662,415352855471936.0,426488553105249.7
0.0001372956737803622,11133894658844.537,415256917605226.0,426390812264070.56
0.00013731981457823538,11132091367357.545,415160962869711.56,426293054237069.1
0.0001373439596208026,11130287758796.94,415064991262425.7,426195279021222.6
0.00013736810890881013,11128483833106.955,414969002780402.75,426097486613509.7
0.00013739226244300452,11126679590231.844,414872997420674.6,425999677010906.5
0.00013741642022413228,11124875030115.842,414776975180274.0,425901850210389.8
0.00013744058225294026,11123070152703.148,414680936056233.7,425804006208936.8
0.00013746474853017527,11121264957937.986,414584880045583.75,425706145003521.75
0.00013748891905658434,11119459445764.553,414488807145356.25,425608266591120.8
0.00013751309383291463,11117653616127.043,414392717352580.2,425510370968707.25
0.0001375372728599133,11115847468969.635,414296610664286.8,425412458133256.44
0.00013756145613832787,11114041004236.49,414200487077503.94,425314528081740.44
0.00013758564366890576,11112238271656.207,414104869089819.2,425217107361475.4
0.00013760983545239475,11110448726714.373,414010976646073.4,425121425372787.75
0.0001376340314895425,11108658867115.979,413917067693171.6,425025726560287.6
0.0001376582317810971,11106868692805.703,413823142228208.56,424930010921014.25
0.00013768243632780643,11105078203728.209,413729200248284.4,424834278452012.56
0.00013770664513041884,11103287399828.152,413635241750491.75,424738529150319.9
0.00013773085818968248,11101496281050.18,413541266731927.56,424642763012977.75
0.00013775507550634595,11099704847338.938,413447275189687.8,424546980037026.75
0.00013777929708115773,11097913098639.027,413353267120865.9,424451180219504.9
0.0001378035229148666,11096121034895.078,413259242522556.9,424355363557451.94
0.00013782775300822135,11094328656051.686,413165201391853.8,424259530047905.5
0.00013785198736197102,11092535962053.465,413071143725849.94,424163679687903.4
0.00013787622597686463,11090742952844.982,412977069521638.25,424067812474483.25
0.00013790046885365153,11088949628370.824,412882978776310.1,423971928404680.94
0.00013792471599308098,11087155988575.55,412788871486957.56,423876027475533.1
0.00013794896739590258,11085362033403.738,412694747650671.2,423780109684074.94
0.0001379732230628659,11083567762799.914,412600607264542.1,423684175027342.06
0.00013799748299472074,11081773176708.61,412506450325660.25,423588223502368.9
0.00013802174719221703,11079978275074.373,412412276831114.7,423492255106189.06
0.00013804601565610468,11078183057841.717,412318086777995.0,423396269835836.7
0.000138070288387134,11076387524955.143,412223880163389.75,423300267688344.9
0.00013809456538605515,11074591676359.158,412129656984386.44,423204248660745.6
0.0001381188466536187,11072795511998.238,412035417238073.0,423108212750071.25
0.00013814313219057505,11070999031816.879,411941160921535.3,423012159953352.2
0.00013816742199767505,11069202235759.527,411846888031860.25,422916090267619.75
0.00013819171607566935,11067405123770.67,411752598566136.3,422820003689907.0
0.0001382160144253091,11065607695794.736,411658292521445.06,422723900217239.8
0.0001382403170473452,11063809951776.178,411563969894874.0,422627779846650.2
0.00013826462394252902,11062011891659.406,411469630683506.2,422531642575165.6
0.0001382889351116118,11060213515388.867,411375274884426.4,422435488399815.25
0.00013831325055534512,11058414822908.957,411280902494716.6,422339317317625.56
0.00013833757027448048,11056615814164.076,411186513511461.25,422243129325625.3
0.00013836189426976974,11054816489098.623,411092107931742.25,422146924420840.9
0.00013838622254196467,11053016847656.969,410997685752640.9,422050702600297.9
0.00013841055509181743,11051216889783.488,410903246971239.0,421954463861022.5
0.00013843489192008,11049418504529.424,410809030416207.75,421858448920737.2
0.00013845923302750477,11047635341433.459,410716761743646.25,421764397085079.7
0.00013848357841484408,11045851864803.066,410624476847437.7,421670328712240.75
0.00013850792808285051,11044068074583.12,410532175724727.8,421576243799310.94
0.0001385322820322767,11042283970718.477,410439858372663.5,421482142343382.0
0.00013855664026387552,11040499553153.992,410347524788391.2,421388024341545.2
0.00013858100277839989,11038714821834.498,410255174969056.8,421293889790891.3
0.00013860536957660278,11036929776704.842,410162808911806.56,421199738688511.4
0.0001386297406592375,11035144417709.832,410070426613784.3,421105571031494.1
0.00013865411602705734,11033358744794.285,409978028072134.5,421011386816928.8
0.0001386784956808158,11031572757903.021,409885613284001.7,420917186041904.7
0.0001387028796212664,11029786456980.803,409793182246529.44,420822968703510.25
0.00013872726784916302,11027999841972.443,409700734956859.44,420728734798831.9
0.00013875166036525936,11026212912822.713,409608271412134.56,420634484324957.25
0.00013877605717030954,11024425669476.354,409515791609496.94,420540217278973.3
0.00013880045826506756,11022638111878.14,409423295546087.4,420445933657965.5
0.00013882486365028788,11020850239972.803,409330783219047.9,420351633459020.7
0.00013884927332672467,11019062053705.1,409238254625517.7,420257316679222.8
0.00013887368729513264,11017273553019.736,409145709762636.9,420162983315656.6
0.00013889810555626635,11015484737861.43,409053148627545.4,420068633365406.8
0.00013892252811088064,11013695608174.895,408960571217381.8,419974266825556.7
0.0001389469549597304,11011906163904.83,408867977529283.75,419879883693188.56
0.00013897138610357074,11010116404995.902,408775367560390.0,419785483965385.9
0.00013899582154315674,11008326331392.814,408682741307837.9,419691067639230.7
0.00013902026127924388,11006535943040.225,408590098768763.3,419596634711803.56
0.00013904470531258747,11004745239882.78,408497439940303.44,419502185180186.2
0.00013906915364394324,11002954221865.14,408404764819593.4,419407719041458.5
0.00013909360627406683,11001162888931.94,408312073403769.6,419313236292701.56
0.00013911806320371405,10999371241027.803,408219365689966.56,419218736930994.4
0.000139142524433641,10997579278097.346,408126641675317.8,419124220953415.2
0.00013916698996460368,10995787000085.201,408033901356957.5,419029688357042.7
0.00013919145979735846,10993994406935.938,407941144732019.6,418935139138955.56
0.00013921593393266164,10992201498594.16,407848371797636.56,418840573296230.75
0.00013924041237126984,10990408275004.441,407755582550939.9,418745990825944.3
