time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
4.457934851384639e-05,18207562036231.75,3760499094649576.5,3778706656685808.0
4.458718693301985e-05,18209526472934.332,3759263680436078.0,3777473206909012.5
4.459502673042823e-05,18211491255045.098,3758028048998891.5,3776239540253936.5
4.460286790631388e-05,18213456382624.754,3756792200299815.5,3775005656682440.5
4.461071046091916e-05,18215421855734.066,3755556134300642.5,3773771556156376.5
4.461855439448651e-05,18217387674433.8,3754319850963179.5,3772537238637613.5
4.4626399707258376e-05,18219353838784.695,3753083350249198.5,3771302704087983.0
4.463424639947728e-05,18221320348847.55,3751846632120494.5,3770067952469342.0
4.464209447138577e-05,18223287204683.145,3750609696538811.5,3768832983743494.5
4.4649943923226426e-05,18225254406352.258,3749372543465940.0,3767597797872292.5
4.4657794755241906e-05,18227221953915.723,3748135172863629.5,3766362394817545.0
4.466564696767486e-05,18229189847434.35,3746897584693630.0,3765126774541064.5
4.4673500560768024e-05,18231158086968.96,3745659778917692.5,3763890937004661.5
4.4681355534764154e-05,18233109171783.465,3744426890834032.5,3762660000005816.0
4.468921188990606e-05,18235032275776.62,3743202097173157.0,3761437129448933.5
4.4697069626436584e-05,18236955717910.414,3741977088155994.0,3760214043873904.5
4.470492874459862e-05,18238879498244.277,3740751863744698.0,3758990743242942.5
4.47127892446351e-05,18240803616837.68,3739526423901383.0,3757767227518220.5
4.472065112678901e-05,18242728073750.094,3738300768588176.5,3756543496661926.5
4.472851439130335e-05,18244652869041.02,3737074897767187.0,3755319550636228.0
4.4736379038421194e-05,18246578002769.945,3735848811400524.0,3754095389403294.0
4.4744245068385646e-05,18248503474996.395,3734622509450288.5,3752871012925285.0
4.475211248143984e-05,18250429285779.836,3733395991878585.5,3751646421164365.5
4.4759981277826996e-05,18252355435179.86,3732169258647474.5,3750421614082654.5
4.4767851457790315e-05,18254281923255.977,3730942309719063.5,3749196591642319.5
4.4775723021573084e-05,18256208750067.73,3729715145055407.0,3747971353805474.5
4.478359596941862e-05,18258135915674.69,3728487764618587.0,3746745900534261.5
4.479147030157028e-05,18260063420136.426,3727260168370646.5,3745520231790783.0
