time_days,Xe135 top 15
7.21305090852076e-05,11019.03241687531
7.214319184492152e-05,11026.017401413228
7.215587683465428e-05,11033.00361380343
7.216856405479799e-05,11039.99105426169
7.21812535057448e-05,11046.979723003818
7.219394518788699e-05,11053.969620245683
7.220663910161684e-05,11060.960746203164
7.221933524732675e-05,11067.95310109221
7.223203362540916e-05,11074.946685128782
7.22447342362566e-05,11081.941498528891
7.225743708026166e-05,11088.937541508581
7.227014215781698e-05,11095.93481428394
7.228284946931532e-05,11102.933317071083
7.229555901514944e-05,11109.93305008618
7.230827079571222e-05,11116.934013545417
7.232098481139659e-05,11123.93620766504
7.233370106259556e-05,11130.939632661322
7.234641954970222e-05,11137.944288750576
7.235914027310967e-05,11144.950176149145
7.237186323321112e-05,11151.957295073407
7.238458843039991e-05,11158.965645739816
7.239731586506933e-05,11165.975228364816
7.241004553761282e-05,11172.98604316491
7.242277744842385e-05,11179.998090356645
7.2435511597896e-05,11187.011370156595
7.244824798642288e-05,11194.02588278138
7.246098661439819e-05,11201.041628447647
7.24737274822157e-05,11208.058607372093
7.248647059026924e-05,11215.076819771448
7.24992159389527e-05,11222.096265862478
7.251196352866007e-05,11229.116945861997
7.252471335978537e-05,11236.138859986839
7.253746543272273e-05,11243.162008453894
7.255021974786631e-05,11250.186391480072
7.256297630561039e-05,11257.21200928235
7.257573510634925e-05,11264.298105903265
7.25884961504773e-05,11271.42444664535
7.260125943838899e-05,11278.552040085899
7.261402497047886e-05,11285.680886445087
7.262679274714148e-05,11292.810985943082
7.263956276877155e-05,11299.942338800109
7.265233503576376e-05,11307.074945236433
7.266510954851294e-05,11314.20880547235
7.267788630741397e-05,11321.343919728206
7.269066531286177e-05,11328.480288224371
7.270344656525137e-05,11335.617911181278
7.271623006497784e-05,11342.75678881937
7.272901581243634e-05,11349.896921359144
7.274180380802208e-05,11357.03830902114
7.275459405213036e-05,11364.180952025921
7.276738654515655e-05,11371.324850594103
7.278018128749603e-05,11378.470004946328
7.279297827954437e-05,11385.616415303297
7.280577752169708e-05,11392.764081885729
7.281857901434983e-05,11399.913004914393
7.283138275789831e-05,11407.063184610093
7.28441887527383e-05,11414.21462119367
7.285699699926565e-05,11421.367314886003
7.286980749787627e-05,11428.52126590803
7.288262024896616e-05,11435.676474480693
7.289543525293135e-05,11442.832940824994
7.290825251016801e-05,11449.990665161986
7.292107202107227e-05,11457.149647712724
7.293389378604045e-05,11464.30988869833
7.294671780546885e-05,11471.471388339962
7.295954407975387e-05,11478.634146858805
7.297237260929202e-05,11485.798164476102
7.298520339447981e-05,11492.963441413118
7.299803643571387e-05,11500.12997789116
7.301087173339087e-05,11507.297774131579
7.302370928790758e-05,11514.466830355761
7.303654909966078e-05,11521.637146785131
7.304939116904741e-05,11528.80872364116
7.306223549646442e-05,11536.021716299021
7.307508208230883e-05,11543.295144457783
7.308793092697773e-05,11550.569851168406
7.310078203086831e-05,11557.845836655579
7.311363539437781e-05,11565.123101144041
7.312649101790353e-05,11572.401644858546
7.313934890184286e-05,11579.681468023913
7.315220904659325e-05,11586.962570864978
7.316507145255222e-05,11594.24495360664
7.317793612011734e-05,11601.528616473814
7.319080304968631e-05,11608.81355969148
7.320367224165683e-05,11616.099783484622
7.321654369642669e-05,11623.387288078295
7.322941741439378e-05,11630.676073697581
7.324229339595604e-05,11637.96614056761
7.325517164151147e-05,11645.257488913543
7.326805215145815e-05,11652.55011896057
7.328093492619425e-05,11659.844030933953
7.329381996611796e-05,11667.13922505896
7.330670727162757e-05,11674.435701560917
7.331959684312147e-05,11681.733460665188
7.333248868099807e-05,11689.032502597165
7.334538278565587e-05,11696.332827582291
7.335827915749344e-05,11703.634435846056
7.337117779690941e-05,11710.937327613963
7.338407870430252e-05,11718.241503111582
7.339698188007153e-05,11725.546962564507
7.340988732461529e-05,11732.85370619838
7.342279503833271e-05,11740.161734238876
7.343570502162279e-05,11747.471046911709
7.344861727488461e-05,11754.781644442643
7.346153179851728e-05,11762.093527057472
7.347444859292002e-05,11769.406694982034
7.348736765849207e-05,11776.721148442197
7.350028899563277e-05,11784.03688766388
7.351321260474158e-05,11791.353912873048
7.352613848621792e-05,11798.672224295686
7.35390666404614e-05,11805.99182215783
7.355199706787159e-05,11813.352021339237
7.356492976884822e-05,11820.77460658331
7.357786474379104e-05,11828.19849659634
7.359080199309988e-05,11835.62369160762
7.360374151717464e-05,11843.05019184649
7.361668331641531e-05,11850.47799754232
7.362962739122194e-05,11857.907108924539
7.36425737419946e-05,11865.337526222585
7.365552236913352e-05,11872.769249665973
7.366847327303894e-05,11880.202279484225
7.368142645411118e-05,11887.63661590693
7.369438191275064e-05,11895.072259163702
7.370733964935777e-05,11902.509209484191
7.372029966433313e-05,11909.947467098113
7.373326195807735e-05,11917.387032235196
7.374622653099105e-05,11924.827905125212
7.375919338347501e-05,11932.270085997998
7.377216251593007e-05,11939.713575083413
7.378513392875707e-05,11947.158372611335
7.379810762235699e-05,11954.604478811727
7.381108359713087e-05,11962.051893914557
7.382406185347979e-05,11969.500618149854
7.383704239180496e-05,11976.950651747684
7.385002521250757e-05,11984.401994938135
7.386301031598897e-05,11991.854647951359
7.387599770265054e-05,11999.308611017545
7.38889873728937e-05,12006.763884366903
7.390197932712e-05,12014.220468229702
7.391497356573105e-05,12021.678362836257
7.392797008912849e-05,12029.1375684169
7.394096889771405e-05,12036.598085202017
7.395396999188957e-05,12044.059913422047
7.39669733720569e-05,12051.523053307441
7.397997903861799e-05,12058.987505088711
7.399298699197486e-05,12066.453268996413
7.40059972325296e-05,12073.920345261118
7.401900976068438e-05,12081.388734113474
7.403202457684142e-05,12088.858435784132
7.404504168140301e-05,12096.38643253118
7.405806107477156e-05,12103.960265488251
7.407108275734947e-05,12111.535429798747
7.408410672953925e-05,12119.111925696656
7.409713299174353e-05,12126.689753415967
7.411016154436491e-05,12134.268913190743
7.412319238780617e-05,12141.849405255061
7.413622552247008e-05,12149.431229843069
7.414926094875949e-05,12157.01438718892
7.416229866707737e-05,12164.59887752684
7.417533867782671e-05,12172.184701091084
7.41883809814106e-05,12179.771858115944
7.420142557823219e-05,12187.360348835748
7.421447246869469e-05,12194.95017348489
7.422752165320141e-05,12202.541332297782
7.424057313215569e-05,12210.133825508876
7.425362690596098e-05,12217.727653352678
7.426668297502079e-05,12225.322816063745
7.427974133973869e-05,12232.919313876642
7.429280200051832e-05,12240.517147026005
7.430586495776341e-05,12248.11631574649
7.431893021187774e-05,12255.716820272817
7.433199776326517e-05,12263.318660839719
7.434506761232967e-05,12270.921837682008
7.435813975947519e-05,12278.526351034496
7.43712142051058e-05,12286.132201132055
7.438429094962568e-05,12293.739388209608
7.439736999343903e-05,12301.347912502108
7.441045133695014e-05,12308.957774244549
7.442353498056336e-05,12316.568973671969
7.443662092468313e-05,12324.181511019446
7.444970916971394e-05,12331.795386522095
7.446279971606035e-05,12339.410600415089
7.447589256412703e-05,12347.02715293362
7.448898771431868e-05,12354.64504431294
7.450208516704009e-05,12362.264274788327
7.451518492269608e-05,12369.88484459511
7.452828698169163e-05,12377.506753968664
7.454139134443172e-05,12385.223417144503
7.455449801132138e-05,12392.950609644815
7.456760698276581e-05,12400.679160454156
7.458071825917019e-05,12408.409069811238
7.459383184093981e-05,12416.140337954781
7.460694772848001e-05,12423.872965123595
7.462006592219624e-05,12431.606951556501
7.463318642249398e-05,12439.342297492374
7.46463092297788e-05,12447.079003170114
7.465943434445633e-05,12454.817068828683
7.467256176693231e-05,12462.55649470708
7.468569149761249e-05,12470.297281044343
7.469882353690272e-05,12478.039428079539
7.471195788520896e-05,12485.782936051808
7.472509454293719e-05,12493.52780520031
7.473823351049345e-05,12501.274035764245
7.475137478828392e-05,12509.021627982866
7.47645183767148e-05,12516.770582095465
7.477766427619235e-05,12524.520898341369
7.479081248712296e-05,12532.272576959966
7.4803963009913e-05,12540.025618190652
7.481711584496902e-05,12547.780022272898
7.483027099269755e-05,12555.535789446201
7.484342845350525e-05,12563.292919950107
7.485658822779882e-05,12571.051414024198
7.486975031598505e-05,12578.811271908102
7.48829147184708e-05,12586.572493841488
7.489608143566298e-05,12594.335080064067
7.490925046796857e-05,12602.099030815585
7.49224218157947e-05,12609.86434633586
7.493559547954843e-05,12617.631026864701
7.494877145963703e-05,12625.399072642002
7.496194975646776e-05,12633.168483907682
7.497513037044798e-05,12640.939260901705
7.49883133019851e-05,12648.711403864074
7.500149855148663e-05,12656.484913034838
7.501468611936015e-05,12664.259788654095
7.502787600601329e-05,12672.08120471554
7.504106821185377e-05,12679.96250464227
7.505426273728935e-05,12687.845189965028
7.506745958272792e-05,12695.729260927294
7.50806587485774e-05,12703.614717772562
7.509386023524577e-05,12711.50156074439
7.510706404314111e-05,12719.389790086349
7.512027017267157e-05,12727.279406042091
7.513347862424537e-05,12735.170408855285
7.514668939827077e-05,12743.062798769652
7.515990249515617e-05,12750.956576028946
7.517311791530994e-05,12758.851740876982
7.518633565914064e-05,12766.748293557599
7.519955572705683e-05,12774.646234314694
7.521277811946713e-05,12782.545563392188
7.522600283678032e-05,12790.446281034085
7.52392298794051e-05,12798.348387484366
7.525245924775037e-05,12806.251882987108
7.52656909422251e-05,12814.156767786422
7.527892496323824e-05,12822.063042126441
7.529216131119889e-05,12829.970706251375
7.530539998651621e-05,12837.879760405434
7.531864098959941e-05,12845.790204832916
7.533188432085778e-05,12853.702039778123
7.53451299807007e-05,12861.615265485429
7.535837796953756e-05,12869.529882199224
7.537162828777794e-05,12877.445890163968
7.538488093583137e-05,12885.363289624147
7.539813591410752e-05,12893.282080824296
7.54113932230161e-05,12901.202264008984
7.542465286296692e-05,12909.123839422839
7.543791483436987e-05,12917.046807310518
7.545117913763484e-05,12924.971167916729
7.546444577317188e-05,12932.896921486217
7.547771474139107e-05,12940.824068263782
7.549098604270256e-05,12948.75260849425
7.550425967751658e-05,12956.682542422499
7.551753564624345e-05,12964.62786615
7.553081394929352e-05,12972.665373319825
7.554409458707725e-05,12980.704293341703
7.555737756000513e-05,12988.744626463902
7.557066286848778e-05,12996.786372934768
7.558395051293585e-05,13004.829533002669
7.559724049376008e-05,13012.87410691602
7.561053281137129e-05,13020.920094923295
7.562382746618034e-05,13028.967497272977
7.563712445859817e-05,13037.016314213626
7.565042378903581e-05,13045.066545993828
