time_days,Nuclei:Pt197 top 1
102.71098258439689,1.673058667321095e-89
102.72904233093995,1.6729592435960064e-89
102.74710525294115,1.6728598142083603e-89
102.7651713509592,1.6727603791592075e-89
102.78324062555237,1.6726609384496032e-89
102.8013130772792,1.6725614920806002e-89
102.81938870669832,1.6724620400532533e-89
102.83746751436846,1.6723625823686155e-89
102.85554950084845,1.672263119027743e-89
102.87363466669709,1.6721636500316903e-89
102.89172301247389,1.67206417538151e-89
102.90981453873728,1.671964695078262e-89
102.92790924604724,1.6718652091229972e-89
102.9460071349623,1.6717657175167766e-89
102.9641082060427,1.671666220260652e-89
102.98221245984715,1.671566717355684e-89
103.00031989693571,1.6714672088029273e-89
103.01843051786838,1.671367694603438e-89
103.03654432320435,1.6712681747582764e-89
103.05466131350418,1.6711686492684974e-89
103.07278148932718,1.6710691181351626e-89
103.09090485123421,1.6709695813593263e-89
103.10903139978475,1.670870038942051e-89
103.12716113553945,1.670770490884395e-89
103.1452940590591,1.670670937187414e-89
103.1634301709035,1.6705713778521723e-89
103.18156947163394,1.6704718128797254e-89
103.1997119618104,1.670372242271138e-89
103.21785764199444,1.6702726660274663e-89
103.23600651274623,1.6701730841497747e-89
103.2541585746275,1.6700734966391206e-89
103.27231382819856,1.6699739034965698e-89
103.29047227402106,1.669874304723181e-89
103.30863391265662,1.6697747003200148e-89
103.32679874466588,1.669675090288137e-89
103.34496677061112,1.6695754746286063e-89
103.36313799105315,1.6694758533424898e-89
103.38131240655441,1.669376226430846e-89
103.39949001767597,1.6692765938947426e-89
103.41767082498042,1.66917695573524e-89
103.43585482902907,1.6690773119534046e-89
103.4540420303843,1.6689776625503e-89
103.47223242960872,1.6688780075269884e-89
103.49042602726385,1.6687783468845386e-89
103.50862282391282,1.6686786806240118e-89
103.52682282011739,1.668579008746477e-89
103.54502601644083,1.668479331252997e-89
103.5632324134451,1.668379648144641e-89
103.58144201169375,1.6682799594224716e-89
103.5996548117489,1.6681802650875594e-89
103.61787081417388,1.6680805651409694e-89
103.63609001953213,1.6679808595837666e-89
103.65431242838612,1.6678811484170224e-89
103.67253804129984,1.6677814316418012e-89
103.6907668588359,1.667681709259175e-89
103.70899888155854,1.6675819812702076e-89
103.72723411003061,1.667482247675972e-89
103.74547254481611,1.6673825084775356e-89
103.7637141864792,1.667282763675965e-89
103.78195903558299,1.667183013272334e-89
103.8002070926922,1.6670832572677084e-89
103.81845835837017,1.6669834956631624e-89
103.83671283318176,1.666883728459763e-89
103.85497051769055,1.6667839556585844e-89
103.87323141246159,1.6666841772606933e-89
103.89149551805866,1.6665843932671657e-89
103.90976283504662,1.6664846036790706e-89
103.92803336399058,1.6663848084974785e-89
103.94630710545448,1.666285007723465e-89
103.964584060004,1.6661852013580992e-89
103.98286422820331,1.6660853894024573e-89
