time_days,Nuclei:Fr221 top 6
8.698242961787518,3301801.564304621
8.699772380154544,3302065.5506948405
8.70130206744031,3302329.5796534545
8.7028320236921,3302593.651186676
8.704362248957192,3302857.7653007214
8.705892743282918,3303121.922001812
8.70742350671657,3303386.1212961613
8.708954539305466,3303650.3631899897
8.710485841096935,3303914.647689514
8.712017412138305,3304178.9748009536
8.713549252476923,3304443.3445305326
8.71508136216014,3304707.7568844673
8.716613741235296,3304972.211868981
8.718146389749792,3305236.7094902983
8.719679307750988,3305501.2497546403
8.721212495286268,3305765.8326682313
8.722745952403022,3306030.4582372955
8.724279679148657,3306295.126468059
8.725813675570574,3306559.8373667467
8.727347941716195,3306824.590939585
8.728882477632945,3307089.3871928016
8.730417283368244,3307354.226132621
8.731952358969561,3307619.1077652783
8.733487704484336,3307884.0320969983
8.735023319960025,3308148.999134013
8.736559205444097,3308414.0088825524
8.738095360984028,3308679.0613488466
8.7396317866273,3308944.156539129
8.741168482421408,3309209.2944596335
8.742705448413837,3309474.4751165872
8.744242684652123,3309739.698516233
8.745780191183774,3310004.9646648015
8.747317968056313,3310270.273568528
8.748856015317275,3310535.6252336493
8.750394333014203,3310801.019666402
8.751932921194646,3311066.4568730234
8.753471779906164,3311331.9368597534
8.755010909196326,3311597.4596328274
8.75655030911269,3311863.0251984866
8.758089979702874,3312128.633562973
8.759629921014454,3312394.284732526
8.761170133095032,3312659.9787133886
8.762710615992216,3312925.715511802
8.764251369753625,3313191.4951340095
8.765792394426887,3313457.317586254
8.767333690059633,3313723.182874782
8.768875256699491,3313989.091005835
8.770417094394146,3314255.0419856627
8.77195920319124,3314521.0358205107
8.773501583138444,3314787.072516625
8.775044234283431,3315053.152080254
8.776587156673887,3315319.274517647
8.778130350357507,3315585.4398350515
8.77967381538199,3315851.6480387184
8.781217551795033,3316117.899134897
8.782761559644383,3316382.5280074487
8.784305838977755,3316644.6471022726
8.78585038984288,3316906.8084288086
8.787395212287503,3317169.0119932103
8.788940306359379,3317431.2578016324
8.790485672106263,3317693.5458602295
8.792031309575929,3317955.8761751605
8.793577218816152,3318218.248752581
8.795123399874702,3318480.663598645
8.796669852799402,3318743.1207195176
8.798216577638044,3319005.6201213566
8.799763574438435,3319268.1618103185
8.801310843248395,3319530.7457925663
8.802858384115751,3319793.372074261
8.80440619708834,3320056.0406615613
8.805954282214008,3320318.751560634
8.807502639540589,3320581.504777636
8.809051269115978,3320844.3003187394
8.810600170988026,3321107.1381901046
8.812149345204615,3321370.0183978956
8.81369879181363,3321632.9409482805
8.815248510862965,3321895.905847424
8.816798502400525,3322158.913101496
8.81834876647422,3322421.962716662
8.819899303131956,3322685.054699088
8.821450112421692,3322948.1890549497
8.82300119439135,3323211.3657904128
8.824552549088876,3323474.584911649
8.826104176562223,3323737.84642483
8.827656076859354,3324001.150336127
8.82920825002824,3324264.496651712
8.830760696116858,3324527.885377759
8.8323134151732,3324791.3165204446
8.833866407245242,3325054.7900859364
8.835419672381022,3325318.3060804163
8.836973210628537,3325581.86451006
8.838527022035807,3325845.465381041
8.840081106650866,3326109.1086995397
8.84163546452175,3326372.794471732
8.843190095696503,3326636.5227037976
8.844745000223185,3326900.293401916
8.84630017814984,3327164.1065722625
8.847855629524576,3327427.962221027
8.849411354395452,3327691.8603543853
8.85096735281056,3327955.80097852
8.852523624817998,3328219.7840996142
8.854080170465874,3328483.809723852
8.855636989802298,3328747.8778574183
8.857194082875393,3329011.988506495
8.858751449733294,3329276.1416772697
8.860309090424124,3329540.337375926
8.86186700499606,3329804.575608655
8.863425193497248,3330068.856381642
8.864983655975847,3330333.1797010764
8.866542392480033,3330597.545573144
8.868101403057992,3330858.917633596
8.869660687757909,3331119.146438503
8.871220246627985,3331379.417134931
8.872780079716414,3331639.7297289674
8.874340187071441,3331900.0842267135
8.875900568741274,3332160.480634259
8.877461224774148,3332420.918957698
8.879022155218307,3332681.399203128
8.880583360121994,3332941.921376644
8.882144839533472,3333202.485484342
8.883706593501008,3333463.0915323216
8.88526862207286,3333723.7395266746
8.886830925297346,3333984.4294735086
8.88839350322274,3334245.1613789187
8.889956355897343,3334505.935249006
8.891519483369466,3334766.75108987
8.893082885687424,3335027.608907613
8.894646562899545,3335288.508708335
8.896210515054166,3335549.4504981413
8.897774742199628,3335810.434283135
8.899339244384265,3336071.460069417
8.900904021656475,3336332.527863098
8.902469074064605,3336593.6376702795
8.904034401657036,3336854.7894970668
8.905600004482153,3337115.983349569
8.907165882588348,3337377.219233893
8.908732036024027,3337638.497156145
8.9102984648376,3337899.817122437
8.91186516907747,3338161.1791388723
8.9134321487921,3338422.5832115673
