time_days,Nuclei:Ra224 top 10
7.514668939827077e-05,0.23237609653823244
7.515990249515617e-05,0.23269970538922558
7.517311791530994e-05,0.23302337114055494
7.518633565914064e-05,0.2333470938022255
7.519955572705683e-05,0.23367087338424414
7.521277811946713e-05,0.23399470989661858
7.522600283678032e-05,0.23431860334935997
7.52392298794051e-05,0.23464255375247872
7.525245924775037e-05,0.23496656111598904
7.52656909422251e-05,0.2352906254499068
7.527892496323824e-05,0.23561474676424826
7.529216131119889e-05,0.23593892506903316
7.530539998651621e-05,0.23626316037428152
7.531864098959941e-05,0.23658745269001638
7.533188432085778e-05,0.23691180202626125
7.53451299807007e-05,0.2372362083930425
7.535837796953756e-05,0.23756067180038762
7.537162828777794e-05,0.23788519225832622
7.538488093583137e-05,0.23820976977688949
7.539813591410752e-05,0.23853440436611054
7.54113932230161e-05,0.2388590960360239
7.542465286296692e-05,0.23919445554587765
7.543791483436987e-05,0.23953052674239397
7.545117913763484e-05,0.23986665703050786
7.546444577317188e-05,0.24020284642060977
7.547771474139107e-05,0.24053909492309158
7.549098604270256e-05,0.2408754025483471
7.550425967751658e-05,0.24121176930677166
7.551753564624345e-05,0.24154819520876347
7.553081394929352e-05,0.2418846802647206
7.554409458707725e-05,0.2422212244850449
7.555737756000513e-05,0.24255782788013866
7.557066286848778e-05,0.24289449046040737
7.558395051293585e-05,0.24323121223625674
7.559724049376008e-05,0.24356799321809597
7.561053281137129e-05,0.24390483341633495
7.562382746618034e-05,0.24424173284138562
7.563712445859817e-05,0.24457869150366185
7.565042378903581e-05,0.24491570941357949
7.566372545790439e-05,0.24525278658155608
7.567702946561505e-05,0.24558992301801108
7.569033581257901e-05,0.2459271187333654
7.570364449920763e-05,0.2462643737380422
7.571695552591225e-05,0.24660168804246643
7.573026889310436e-05,0.2469390616570647
7.574358460119547e-05,0.24727649459226544
7.57569026505972e-05,0.24761398685849942
7.57702230417212e-05,0.24795153846619855
7.578354577497924e-05,0.24828914942579675
7.579687085078312e-05,0.24862681974773018
7.581019826954475e-05,0.24896454944243687
7.582352803167609e-05,0.24930233852035547
7.583686013758915e-05,0.2496495648554702
7.585019458769607e-05,0.24999907946204827
7.586353138240901e-05,0.2503486555239865
7.587687052214026e-05,0.250698293052091
7.58902120073021e-05,0.25104799205716927
7.590355583830696e-05,0.25139775255003055
7.59169020155673e-05,0.2517475745414867
7.593025053949566e-05,0.2520974580423504
7.594360141050466e-05,0.2524474030634379
7.595695462900699e-05,0.2527974096155654
7.597031019541542e-05,0.2531474777095525
7.598366811014277e-05,0.25349760735621957
7.599702837360195e-05,0.25384779856638984
7.601039098620595e-05,0.25419805135088835
7.60237559483678e-05,0.254548365720541
7.603712326050065e-05,0.2548987416861768
7.605049292301768e-05,0.2552491792586261
7.606386493633217e-05,0.2555996784487215
7.607723930085745e-05,0.2559502392672968
7.609061601700693e-05,0.25630086172518834
7.610399508519415e-05,0.2566515458332349
7.61173765058326e-05,0.2570022916022753
7.613076027933595e-05,0.2573530990431519
7.614414640611791e-05,0.25770396816670854
7.615753488659224e-05,0.25805489898379086
7.617092572117278e-05,0.25840589150524645
7.618431891027349e-05,0.25875694574192487
7.619771445430835e-05,0.25910806170467754
7.621111235369143e-05,0.25945923940435767
7.622451260883688e-05,0.25981047885182074
7.62379152201589e-05,0.2601617800579236
7.62513201880718e-05,0.2605232739527176
7.626472751298991e-05,0.26088665427368174
7.62781371953277e-05,0.2612500984880227
7.629154923549964e-05,0.26161360660697475
7.630496363392035e-05,0.2619771786417749
7.631838039100445e-05,0.26234081460366065
7.633179950716666e-05,0.2627045145038728
7.634522098282182e-05,0.26306827835365365
7.635864481838475e-05,0.26343210616424745
7.637207101427044e-05,0.26379599794690034
7.638549957089388e-05,0.26415995371286066
7.63989304886702e-05,0.2645239734733791
7.64123637680145e-05,0.26488805723970715
7.642579940934207e-05,0.265252205023099
7.643923741306816e-05,0.2656164168348108
7.645267777960821e-05,0.26598069268610086
7.646612050937766e-05,0.26634503258822956
7.647956560279202e-05,0.2667094365524586
7.649301306026691e-05,0.26707390459005226
7.650646288221799e-05,0.2674384367122763
7.651991506906103e-05,0.26780303293039914
7.653336962121182e-05,0.26816769325569056
7.654682653908629e-05,0.26853241769942277
7.656028582310038e-05,0.2688972062728694
7.657374747367013e-05,0.2692620589873065
7.658721149121166e-05,0.2696269758540122
7.660067787614117e-05,0.26999195688426636
7.66141466288749e-05,0.27035700208935076
7.662761774982919e-05,0.2707221114805495
7.664109123942044e-05,0.27108728506914814
7.665456709806514e-05,0.27145323954920175
7.666804532617983e-05,0.27183085134248625
7.668152592418115e-05,0.27220852953147556
7.669500889248578e-05,0.2725862741278442
7.670849423151053e-05,0.27296408514326875
7.67219819416722e-05,0.273341962589427
7.673547202338773e-05,0.2737199064779999
7.674896447707411e-05,0.2740979168206702
7.67624593031484e-05,0.27447599362912234
7.677595650202775e-05,0.2748541369150431
7.678945607412936e-05,0.27523234669012125
7.680295801987052e-05,0.27561062296604755
7.68164623396686e-05,0.27598896575451504
7.682996903394101e-05,0.2763673750672187
7.684347810310528e-05,0.27674585091585524
7.685698954757897e-05,0.27712439331212385
7.687050336777974e-05,0.27750300226772534
7.688401956412532e-05,0.2778816777943636
7.689753813703349e-05,0.2782604199037429
7.691105908692213e-05,0.27863922860757123
7.692458241420922e-05,0.279018103917558
7.693810811931274e-05,0.2793970458454139
7.695163620265078e-05,0.27977605440285286
7.696516666464154e-05,0.28015512960159017
7.697869950570326e-05,0.280534271453344
7.69922347262542e-05,0.28091347996983296
7.700577232671282e-05,0.28129275516278013
7.701931230749753e-05,0.281672097043908
7.703285466902688e-05,0.28205150562494263
7.704639941171947e-05,0.28243098091761215
7.705994653599399e-05,0.28281052293364645
7.707349604226919e-05,0.28319601614666884
7.70870479309639e-05,0.28358912327022845
7.710060220249705e-05,0.2839822995140458
7.711415885728756e-05,0.2843755448902738
7.712771789575453e-05,0.2847688594110687
7.714127931831706e-05,0.2851622430885878
7.715484312539436e-05,0.28555569593499114
7.716840931740568e-05,0.2859492179624407
7.718197789477039e-05,0.2863428091831008
7.719554885790789e-05,0.28673646960913723
7.720912220723768e-05,0.2871301992527187
7.722269794317933e-05,0.28752399812601603
7.723627606615247e-05,0.28791786624120147
7.724985657657682e-05,0.28831180361044983
7.726343947487217e-05,0.2887058102459385
7.727702476145836e-05,0.2890998861598463
7.729061243675535e-05,0.2894940313643544
7.730420250118316e-05,0.2898882458716469
7.731779495516183e-05,0.2902825296939085
7.733138979911154e-05,0.29067688284332693
7.734498703345253e-05,0.2910713053320926
7.735858665860508e-05,0.2914657971723968
7.737218867498958e-05,0.29186035837643387
7.738579308302649e-05,0.2922549889564006
7.739939988313632e-05,0.29264968892449456
7.74130090757397e-05,0.293044458292917
7.742662066125727e-05,0.2934392970738701
7.74402346401098e-05,0.2938342052795588
7.745385101271809e-05,0.29422918292219036
7.746746977950305e-05,0.2946242300139737
7.748109094088567e-05,0.2950193465671204
7.749471449728694e-05,0.2954145325938432
7.750834044912803e-05,0.29581274590757534
7.75219687968301e-05,0.29622191908909296
7.753559954081445e-05,0.29663116421577235
7.754923268150237e-05,0.29704048130026317
7.756286821931533e-05,0.29744987035521886
7.757650615467478e-05,0.29785933139329324
7.759014648800229e-05,0.29826886442714307
7.76037892197195e-05,0.2986784694694283
7.761743435024814e-05,0.29908814653280896
7.763108188000995e-05,0.2994978956299494
7.764473180942682e-05,0.299907716773515
7.765838413892069e-05,0.30031760997617357
7.767203886891354e-05,0.300727575250596
7.768569599982746e-05,0.3011376126094538
7.769935553208462e-05,0.30154772206542213
7.771301746610723e-05,0.3019579036311777
7.772668180231763e-05,0.30236815731939987
