time_days,Nuclei:Hf181 top 19
2.981438972233482,1284078.1242637457
2.981963200809797,1284063.8134203993
2.9824875215616027,1284049.5001342806
2.983011934505106,1284035.184404986
2.9835364396565125,1284020.8662321118
2.9840610370320455,1284006.545615252
2.984585726647915,1283992.2225540031
2.98511050852034,1283977.8970479604
2.9856353826655426,1283963.5690967203
2.986160349099747,1283949.2386998772
2.9866854078391794,1283934.9092139988
2.9872105589000713,1283920.578896026
2.987735802298649,1283906.246132085
2.9882611380511603,1283891.9109217701
2.9887865661738378,1283877.573264678
2.989312086682923,1283863.233160403
2.9898376995946605,1283848.89060854
2.990363404925297,1283834.545608685
2.990889202691083,1283820.198160432
2.9914150929082717,1283805.8482633764
2.991941075593113,1283791.495917113
2.9924671507618767,1283777.1411212361
2.992993318430819,1283762.783875341
2.993519578616204,1283748.4241790224
2.9940459313342984,1283734.0620318747
2.994572376601373,1283719.6974334922
2.9950989144337012,1283705.3303834698
2.9956255448475577,1283690.960881402
2.9961522678592223,1283676.5889268827
2.9966790834849704,1283662.2145195066
2.997205991741097,1283647.8376588672
2.9977329926438845,1283633.4583445597
2.998260086209623,1283619.076576177
2.998787272454605,1283604.6923533147
2.9993145513951274,1283590.305675565
2.9998419230474878,1283575.9165425226
3.000369387427988,1283561.5249537823
3.0008969445529274,1283547.130908937
3.0014245944386246,1283532.7344075798
3.001952337101383,1283518.335449305
3.002480172557517,1283503.934033707
3.0030081008233416,1283489.5301603775
3.003536121915176,1283475.1238289117
3.004064235849342,1283460.715038902
3.004592442642164,1283446.3037899418
3.0051207423099693,1283431.8900816252
3.005649134869083,1283417.4739135448
3.006177620335849,1283403.055285294
3.0067061987265977,1283388.6341964654
3.0072348700576677,1283374.2106466517
3.0077636343454017,1283359.7846354474
3.0082924916061433,1283345.3561624442
3.008821441856241,1283330.9252272358
3.0093504851120447,1283316.491829414
3.0098796213899024,1283302.055968572
3.0104088507061806,1283287.6176443023
3.0109381730772333,1283273.1768561976
3.011467588519422,1283258.733603851
3.0119970970491123,1283244.2878868536
3.012526698682671,1283229.8397047988
3.013056393436469,1283215.389057279
3.01358618132688,1283200.935943886
3.0141160623702743,1283186.482583669
3.014646036583042,1283172.0295513237
3.015176103981559,1283157.5740527376
3.0157062645822124,1283143.1160875026
3.016236518401388,1283128.6556552108
3.016766865455477,1283114.192755455
3.017297305760873,1283099.7273878255
3.017827839333973,1283085.2595519163
3.018358466191176,1283070.7892473175
3.018889186348878,1283056.316473622
3.0194199998234956,1283041.8412304216
3.019950906631432,1283027.3635173072
3.0204819067890964,1283012.8833338702
3.0210130003129043,1282998.400679703
3.021544187219271,1282983.9155543966
3.0220754675246173,1282969.4279575432
3.0226068412453646,1282954.9378887329
3.023138308397933,1282940.445347557
3.023669868998762,1282925.9503336083
3.0242015230642765,1282911.4528464768
3.024733270610911,1282896.9528857537
3.0252651116551017,1282882.4504510297
3.0257970462132895,1282867.9455418962
3.026329074301916,1282853.4381579445
3.0268611959374274,1282838.9282987646
3.0273934111362664,1282824.4159639482
3.0279257199148946,1282809.901153085
3.028458122289762,1282795.383865766
3.0289906182773243,1282780.8641015827
3.0295232078940426,1282766.3418601246
3.0300558911563793,1282751.8171409823
3.0305886680808003,1282737.289943746
3.031121538683774,1282722.760268007
3.0316545029817727,1282708.2281133549
3.032187560991265,1282693.6934793794
3.0327207127287386,1282679.1563656721
3.0332539582106692,1282664.6167718219
