time_days,Nuclei:Ir195 top 14
0.0003740762485645755,270474180.2302317
0.0003741420226626013,270598617.3108485
0.0003742078083257346,270723076.15225
0.00037427360555600866,270847556.7582199
0.0003743394143554576,270972059.132544
0.0003744052347261153,271096583.27900743
0.0003744710666700166,271221129.20139706
0.00037453691018919617,271345696.90349925
0.00037460276528568967,271470286.38910264
0.0003746686319615324,271594897.6619947
0.00037473451021876057,271719530.72596496
0.00037480040005941035,271844185.5848024
0.0003748663014855188,271968862.24229825
0.00037493221449912275,272093560.70224273
0.0003749981391022596,272218280.9684274
0.0003750640752969672,272343023.04464483
0.0003751300230852837,272467786.9346877
0.0003751959824692477,272592572.6423497
0.000375261953450898,272717380.171425
0.0003753279360322739,272842209.5257085
0.00037539393021541475,272967060.7089953
0.0003754599360023608,273091933.72508216
0.0003755259533951522,273216828.5777654
0.00037559198239582977,273341745.27084285
0.0003756580230064342,273466683.80811214
0.00037572407522900724,273591644.1933726
0.0003757901390655903,273716626.4304231
0.0003758562145182258,273841630.52306426
0.0003759223015889559,273966656.4750962
0.0003759884002798238,274092554.15965277
0.00037605451059287214,274218580.88390553
0.0003761206325301451,274344629.6463135
0.0003761867660936859,274470700.4507079
0.0003762529112855394,274596793.3009227
0.0003763190681077499,274722908.2007915
0.0003763852365623623,274849045.15414816
0.0003764514166514222,274975204.1648286
0.000376517608376975,275101385.23666763
0.000376583811741067,275227588.3735026
0.0003766500267457444,275353813.5791699
0.0003767162533930542,275480060.85750765
0.0003767824916850433,275606330.2123539
0.0003768487416237594,275732621.6475479
0.0003769150032112502,275858935.166929
0.00037698127644956406,275985270.7743382
0.00037704756134074937,276111628.47361577
0.00037711385788685535,276238008.2686042
0.0003771801660899308,276364410.163145
0.00037724648595202593,276490834.1610819
0.00037731281747519033,276617280.266258
0.00037737916066147474,276743748.48251796
0.0003774455155129295,276870238.8137065
0.00037751188203160604,276996751.26366955
0.0003775782602195556,277123285.8362531
0.0003776446500788301,277249842.5353044
0.00037771105161148167,277376421.3646708
0.000377777464819563,277503022.32820094
0.00037784388970512684,277629645.42974377
0.0003779103262702263,277756290.67314816
0.0003779767745169154,277882958.06226546
0.00037804323444724764,278009647.60094535
0.00037810970606327784,278136359.29304075
0.0003781761893670603,278263093.14240295
0.00037824268436065044,278389849.15288544
0.00037830919104610343,278516627.3283415
0.00037837570942547526,278643427.6726256
0.00037844223950082173,278770250.1895921
0.00037850878127419985,278897094.8830976
0.000378575334747666,279023961.7569971
0.00037864189992327786,279151327.26284516
0.00037870847680309257,279279200.91039366
0.00037877506538916856,279407096.91819775
0.0003788416656835638,279535015.2901451
0.0003789082776883372,279662956.03012484
0.00037897490140554756,279790919.1420263
0.0003790415368372546,279918904.6297399
0.0003791081839855177,280046912.4971558
0.0003791748428523974,280174942.7481663
0.0003792415134399538,280302995.3866627
0.0003793081957502482,280431070.41653895
0.0003793748897853415,280559167.84168774
0.00037944159554729524,280687287.66600305
0.0003795083130381716,280815429.8933805
0.00037957504226003255,280943594.52771485
0.00037964178321494115,281071781.57290274
0.00037970853590496014,281199991.03284085
0.00037977530033215314,281328222.91142684
0.00037984207649858364,281456477.21255857
0.0003799088644063161,281584753.9401354
0.00037997566405741453,281713053.09805626
0.0003800424754539443,281841374.69022197
0.00038010929859797014,281969718.72053266
0.000380176133491558,282098085.1928907
