time_days,Nuclei:Ac228 top 11
399.7323752800605,1750.3047573402807
399.8026605134494,1750.0005225350212
399.8729581051417,1749.6963719738333
399.943268057312,1749.3922601470197
400.0135903721308,1749.088186443881
400.0839250517746,1748.7841508619376
400.15427209841465,1748.4801533987215
400.2246315142284,1748.1761940517524
400.2950033013878,1747.8722728185714
400.365387462071,1747.5683896966893
400.4357839984507,1747.2645446836457
400.50619291270453,1746.9607377769569
400.5766142070102,1746.656968974142
400.64704788354163,1746.3532382727417
400.71749394447903,1746.0495456702658
400.78795239199684,1745.7458911642439
400.8584232282761,1745.4422747521946
400.9289064554922,1745.1386964316428
400.9994020758251,1744.8351562001133
401.0699100914556,1744.5316540551137
401.1404305045602,1744.2281899941797
401.2109633173215,1743.9247640148153
401.281508531917,1743.6213761145548
401.35206615053016,1743.3180262909082
401.42263617533916,1743.0147145413982
401.49321860852825,1742.7114408635334
401.5638134522762,1742.4082052548433
401.6344207087668,1742.1050077128366
401.70504038018396,1741.8018482350271
401.7756724687077,1741.4987268189354
401.84631697652424,1741.1956434620695
401.9169739058143,1740.8925981619534
401.98764325876493,1740.5895909160909
402.0583250375578,1740.2866217220035
402.12901924438034,1739.9836905771924
402.1997258814152,1739.680797479184
402.27044495084925,1739.3779424254835
402.3411764548701,1739.0751254135942
402.4119203956611,1738.7723464410374
402.4826767754119,1738.4696055053114
402.5534455963069,1738.1669026039394
402.6242268605364,1737.8642377344165
402.69502057028546,1737.5616108942627
402.76582672774384,1737.2590220809795
402.83664533510165,1736.9564712920671
402.90747639454514,1736.6539585250448
402.9783199082666,1736.3514837774085
403.049175878453,1736.0490470466732
403.1200443072974,1735.7466483303303
403.1909251969877,1735.4442876258995
403.26181854971765,1735.1419649308718
403.33272436767567,1734.8397171151455
403.40364265305516,1734.537517148711
403.47457340804965,1734.235355178314
403.54551663484875,1733.9332312014678
403.61647233564827,1733.6311452156583
403.68744051263866,1733.3290972184054
403.7584211680165,1733.0270872071924
403.8294143039731,1732.7251151795315
403.9004199227057,1732.4231811329093
403.97143802640625,1732.1212850648412
404.0424686172714,1731.8194269728128
404.1135116974984,1731.5176068543176
404.18456726928025,1731.21582470687
404.25563533481613,1730.9140805279444
404.3267158963002,1730.612374315059
404.3978089559323,1730.3107060656891
404.4689145159073,1730.009075777349
404.5400325784258,1729.707483447514
404.61116314568335,1729.4059290736957
404.68230621988016,1729.1044126533743
404.75346180321674,1728.8029341840424
404.8246298978897,1728.5014936632026
404.8958105061017,1728.2000910883348
404.96700363005027,1727.8987264569407
405.0382092719389,1727.5973997665003
405.1094274339658,1727.296111014516
405.18065811833367,1726.9948601984681
405.2519013272459,1726.6936473158412
405.32315706290177,1726.3924723641392
405.39442532750667,1726.0913353408318
405.4657061232608,1725.7902362434238
405.5369994523705,1725.489175069382
405.60830531703635,1725.1881518162136
405.6796237194656,1724.8871664813896
405.7509546618599,1724.5862190624046
405.8222981464254,1724.2853095567398
405.893654175369,1723.9844379618733
405.9650227508935,1723.683604275296
406.0364038752078,1723.3828084944826
406.1077975505155,1723.0820506169307
406.17920377902635,1722.781330640103
406.25062256294467,1722.4806485614995
406.32205390448104,1722.180004378585
406.39349780584047,1721.879398088851
406.464954269233,1721.5788296897783
406.53642329686863,1721.2782991788301
406.6079048909538,1720.9778065535058
406.67939905370093,1720.6773518112652
406.7509057873171,1720.3769355695736
406.8224250940156,1720.076603310983
406.8939569760042,1719.7763089220334
406.96550143549536,1719.4760524001888
407.0370584747022,1719.1758337429285
407.1086280958337,1718.875652947729
407.18021030110503,1718.575510012063
407.251805092726,1718.2754049334098
407.3234124729124,1717.975337709234
407.3950324438751,1717.6753083370209
407.4666650078306,1717.37531681423
407.53831016699036,1717.0753631383461
407.60996792357037,1716.775447306834
407.68163827978714,1716.4755693171608
407.75332123785313,1716.175729166807
407.8250167999871,1715.8759268532326
407.8967249684023,1715.5761623739188
407.96844574531815,1715.2764357263234
408.04017913294877,1714.9767469079209
408.11192513351443,1714.6770959161756
408.18368374922994,1714.3774827485615
408.25545498231486,1714.07790740254
408.32723883498915,1713.778369875575
408.39903530946896,1713.4788701651387
408.47084440797636,1713.1794082686888
408.54266613272813,1712.8799841836978
408.61450048594725,1712.5805979076245
408.6863474698514,1712.281249437941
408.7582070866628,1711.9819387721034
408.8300793386042,1711.682665907568
408.9019642278944,1711.3834308418127
408.9738617567581,1711.0842335722823
409.04577192741505,1710.7850740964539
409.11769474209086,1710.4859524117744
409.18963020300595,1710.1868685157153
409.2615783123867,1709.8878224057219
409.33353907245424,1709.5888140792704
409.4055124854345,1709.2898435338125
409.4774985535534,1708.990910766797
409.5494972790335,1708.6920157756924
