time_days,Nuclei:Pb212 top 16
0.5664621766670055,88499625.39764325
0.5665617781222678,88474244.31167313
0.5666613970905263,88448909.46777345
0.5667610335748603,88423604.87434112
0.5668606875783494,88398301.58606654
0.5669603591040743,88372999.60402124
0.5670600481551157,88347698.929277
0.5671597547345554,88322399.56290552
0.5672594788454742,88297101.505979
0.5673592204909567,88271804.75956888
0.5674589796740851,88246509.32474743
0.567558756397943,88221215.20258686
0.5676585506656145,88195922.39415936
0.5677583624801845,88170630.90053725
0.5678581918447384,88145340.72279294
0.5679580387623617,88120051.86199903
0.5680579032361409,88094764.31922795
0.5681577852691619,88069478.09555276
0.5682576848645143,88044193.19204566
0.568357602025285,88018909.60977978
0.5684575367545625,87993627.34982805
0.5685574890554358,87968346.41326354
0.5686574589309947,87943066.80115937
0.5687574463843293,87917788.5145887
0.5688574514185305,87892511.55462484
0.5689574740366882,87867235.9223415
0.5690575142418963,87841961.6188116
0.5691575720372464,87816688.64510898
0.5692576474258311,87791417.00230725
0.569357740410744,87766146.6914802
0.569457850995079,87740877.71370159
0.5695579791819306,87715610.0700454
0.5696581249743939,87690343.76158562
0.5697582883755645,87665078.7893963
0.5698584693885376,87639815.15455191
0.5699586680164118,87614552.85812618
0.5700588842622835,87589291.90119372
0.5701591181292502,87564032.28482899
0.5702593696204106,87538774.01010649
0.5703596387388633,87513517.0781008
0.5704599254877077,87488261.4898867
0.5705602298700441,87463007.2465389
0.5706605518889716,87437754.34913254
0.5707608915475935,87412502.79874204
0.5708612488490102,87387303.28900822
0.5709616237963241,87362127.85878181
0.5710620163926378,87336953.76855487
0.5711624266410544,87311781.01939821
0.5712628545446778,87286609.61238274
0.5713633001066123,87261439.54857951
0.5714637633299618,87236270.82905984
0.5715642442178338,87211103.45489433
0.5716647427733331,87185937.4271546
0.5717652589995663,87160772.74691188
0.5718657928996405,87135609.41523772
0.5719663444766632,87110447.43320356
0.5720669137337425,87085286.80188102
0.5721675006739874,87060127.52234173
0.5722681053005068,87034969.59565753
0.5723687276164096,87009813.02290048
0.5724693676248082,86984657.80514205
0.5725700253288125,86959503.94345443
0.5726707007315338,86934351.4389098
0.5727713938360842,86909200.29258035
0.5728721046455761,86884050.50553831
0.5729728331631229,86858902.07885607
0.5730735793918378,86833755.01360604
0.5731743433348341,86808609.31086099
0.5732751249952286,86783464.97169304
0.5733759243761356,86758321.99717517
0.5734767414806708,86733180.38838005
0.5735775763119506,86708040.1463806
0.5736784288730918,86682901.27224977
0.573779299167212,86657763.76706056
0.5738801871974293,86632627.63188608
0.573981092966861,86607492.86779977
0.5740820164786282,86582359.47587433
0.5741829577358498,86557227.45718344
0.5742839167416458,86532096.81280053
0.574384893499137,86506967.54379912
0.5744858880114446,86481839.65125275
0.5745869002816907,86456713.13623512
0.5746879303129975,86431587.99982001
0.5747889781084878,86406464.24308124
0.5748900436712844,86381341.867093
0.5749911270045132,86356226.6505749
0.5750922281112976,86331180.02640933
0.575193346994763,86306134.77586968
0.575294483658035,86281090.90002571
0.5753956381042399,86256048.39994729
0.5754968103365045,86231007.2767044
0.5755980003579558,86205967.5313671
0.575699208171721,86180929.16500576
0.5758004337809307,86155892.17869009
0.5759016771887125,86130856.5734906
0.5760029383981962,86105822.35047764
0.5761042174125117,86080789.51072173
0.5762055142347897,86055758.0552933
0.5763068288681615,86030727.98526303
0.5764081613157587,86005699.3017016
0.5765095115807137,85980672.00567971
0.5766108796661581,85955646.09826852
0.5767122655752276,85930621.58053842
0.576813669311055,85905598.45356071
0.5769150908767748,85880576.71840638
0.577016530275522,85855556.3761467
0.5771179875104323,85830537.42785288
0.5772194625846417,85805519.8745962
0.5773209555012871,85780503.7174481
0.5774224662635045,85755488.95748028
0.5775239948744338,85730475.59576385
0.5776255413372124,85705463.63337062
0.5777271056549794,85680453.07137233
0.5778286878308738,85655443.91084081
0.5779302878680359,85630436.15284787
0.5780319057696063,85605429.79846554
0.5781335415387259,85580424.84876578
0.5782351951785355,85555421.30482097
0.5783368666921792,85530419.16770281
0.578438556082799,85505418.43848373
0.5785402633535381,85480419.11823617
0.5786419885075403,85455421.20803249
0.5787437315479502,85430424.7089452
0.5788454924779125,85405429.62204686
0.578947271300573,85380435.94841014
0.5790490680190777,85355443.6891077
0.5791508826365721,85330452.84521267
0.5792527151562056,85305519.2918377
0.579354565581125,85280603.81918845
0.5794564339144782,85255689.75471033
0.5795583201594146,85230777.09947199
0.5796602243190832,85205865.85454217
0.579762146396634,85180956.02098972
0.5798640863952177,85156047.59988354
0.5799660443179842,85131140.5922929
