time_days,Nuclei:Pu241 top 4
0.0036430048130902787,18637.442106350667
0.0036436453652680862,18644.27551744902
0.003644286030074651,18651.110130026354
0.0036449268075297732,18657.945944293864
0.0036455676976532604,18664.782960462842
0.0036462087004649193,18671.62117874456
0.0036468498159845705,18678.460599350437
0.0036474910442320283,18685.30122249184
0.003648132385227114,18692.143048380185
0.0036487738389896513,18698.98607722694
0.0036494154055394666,18705.830309243567
0.003650057084896396,18712.675744641685
0.003650698877080272,18719.52238363283
0.0036513407821109336,18726.370226428604
0.0036519828000082188,18733.219273240637
0.003652624930791979,18740.069524280676
0.003653267174482061,18746.920979760427
0.0036539095310983163,18753.77363989162
0.003654552000660599,18760.62750488606
0.0036551945831887734,18767.482574955626
0.003655837278702699,18774.33885031215
0.003656480087222243,18781.196331167564
0.0036571230087672725,18788.073500131726
0.0036577660433576666,18794.95593585317
0.003658409191013299,18801.839581673084
0.0036590524517540494,18808.724437804245
0.0036596958255998,18815.6105044594
0.003660339312570443,18822.497781851453
0.0036609829126858667,18829.386270193238
0.003661626625965965,18836.275969697657
0.0036622704524306333,18843.16688057762
0.003662914392099779,18850.059003046194
0.0036635584449933034,18856.95233731634
0.003664202611131116,18863.846883601138
0.0036648468905331267,18870.74264211365
0.0036654912832192487,18877.639613067
0.003666135789209407,18884.537796674413
0.003666780408523521,18891.437193149057
0.003667425141181517,18898.33780270419
0.00366806998720332,18905.239625553044
0.00366871494660887,18912.14266190902
0.0036693600194180995,18919.046911985417
0.0036700052056509495,18925.952375995643
0.003670650505327359,18932.859054153112
0.003671295918467282,18939.766946671327
0.0036719414450906646,18946.676053763782
0.0036725870852174626,18953.586375644016
0.003673232838867628,18960.49791252556
0.0036738787060611295,18967.410664622123
0.0036745246868179282,18974.324632147323
0.0036751707811579913,18981.239815314842
0.003675816989101288,18988.156214338393
0.0036764633106677993,18995.073829431803
0.0036771097458774995,19001.99266080884
0.003677756294750372,19008.912708683354
0.0036784029573064016,19015.83397326924
0.0036790497335655735,19022.756454780356
0.003679696623547888,19029.680153430745
0.003680343627273337,19036.605069434358
0.00368099074476192,19043.548588814534
0.003681637976033637,19050.498130288488
0.003682285321108501,19057.44889365946
0.0036829327800065184,19064.400879142253
0.003683580352747704,19071.354086951753
0.003684228039352071,19078.308517302827
0.003684875839839646,19085.264170410468
0.003685523754230451,19092.221046489645
0.003686171782544513,19099.17914575537
0.00368681992480186,19106.13846842267
0.003687468181022533,19113.0990147067
0.003688116551226568,19120.060784822566
0.0036887650354340057,19127.023778985433
0.0036894136336648887,19133.987997410484
0.0036900623459392725,19140.953440313035
0.0036907111722772053,19147.92010790832
0.0036913601126987434,19154.888000411676
0.003692009167223947,19161.857118038464
0.003692658335872875,19168.82746100405
0.0036933076186656,19175.799029523925
0.0036939570156221896,19182.77182381354
0.0036946065267627172,19189.7458440884
0.0036952561521072557,19196.721090564017
0.003695905891675894,19203.697563456062
0.003696555745488711,19210.675262980116
0.0036972057135657944,19217.65418935184
0.0036978557959272337,19224.63434278691
0.0036985059925931296,19231.615723501127
0.0036991563035835757,19238.598331710233
0.0036998067289186758,19245.582167630047
0.00370045726861853,19252.567231476387
0.0037011079227032553,19259.55352346521
0.0037017586911929595,19266.541043812405
0.00370240957410776,19273.52979273396
0.0037030605714677713,19280.519770445822
0.0037037116832931236,19287.51097716411
