time_days,Nuclei:Lu177 top 13
2.6339128647596045e-05,0.0001905933042638711
2.634375987568452e-05,0.0001912366618543593
2.634839191808519e-05,0.00019188013256622835
2.6353024774941237e-05,0.00019252371641936787
2.635765844639586e-05,0.00019316741343367006
2.63622929325923e-05,0.0001938112236290338
2.63669282336738e-05,0.00019445514702535782
2.6371564349783656e-05,0.0001950991836425474
2.6376201281065165e-05,0.00019574347734546373
2.6380839027661667e-05,0.00019642140813997815
2.6385477589716512e-05,0.0001970994581348678
2.639011696737309e-05,0.00019777762735109246
2.6394757160774808e-05,0.00019845591580961485
2.6399398170065094e-05,0.00019913432353139979
2.640403999538741e-05,0.00019981285053741836
2.6408682636885236e-05,0.00020049149684864362
2.6413326094702083e-05,0.0002011702624860527
2.6417970368981485e-05,0.00020184914747062706
2.6422615459867e-05,0.00020252815182335111
2.6427261367502212e-05,0.00020320727556521315
2.6431908092030735e-05,0.00020388651871720506
2.6436555633596203e-05,0.00020456588130032347
2.644120399234227e-05,0.00020524536333556701
2.644585316841263e-05,0.0002059249648439383
2.645050316195099e-05,0.00020660468584644587
2.645515397310108e-05,0.00020728452636409816
2.6459805602006672e-05,0.00020796448641791055
2.6464458048811543e-05,0.00020867633207082218
2.6469111313659513e-05,0.00020939166115490777
2.6473765396694415e-05,0.00021010711601509725
2.647842029806011e-05,0.00021082269667350534
2.6483076017900488e-05,0.00021153840315225105
2.6487732556359458e-05,0.00021225423547345702
2.6492389913580965e-05,0.00021297019365925087
2.649704808970897e-05,0.0002136862777317624
2.650170708488746e-05,0.00021440248771312624
2.650636689926045e-05,0.000215118823625481
2.6511027532971987e-05,0.00021583528549096916
2.651568898616612e-05,0.00021655187333173564
2.6520351258986948e-05,0.00021726858716993172
2.6525014351578595e-05,0.00021798542702771172
2.6529678264085185e-05,0.0002187023929272324
2.6534342996650895e-05,0.00021941948489065518
2.6539008549419915e-05,0.0002201367029401472
2.6543674922536465e-05,0.00022085404709787777
2.6548342116144774e-05,0.00022160342617007716
2.655301013038913e-05,0.0002223576536664282
2.655767896541381e-05,0.00022311201377837634
2.6562348621363142e-05,0.00022386650652924037
2.656701909838146e-05,0.00022462113194234127
2.6571690396613143e-05,0.00022537589004100492
2.6576362516202577e-05,0.00022613078084856143
2.6581035457294187e-05,0.00022688580438834442
2.6585709220032417e-05,0.00022764096068369303
2.6590383804561742e-05,0.000228396249757949
2.659505921102665e-05,0.00022915167163445842
2.659973543957167e-05,0.000229907226336572
2.6604412490341344e-05,0.000230662913887644
2.6609090363480254e-05,0.00023141873431103448
2.6613769059132977e-05,0.00023217468763010347
2.6618448577444156e-05,0.00023293077386822008
2.6623128918558435e-05,0.00023368699304875438
2.6627810082620478e-05,0.00023444334519508124
2.6632492069774997e-05,0.00023523434080809197
2.6637174880166713e-05,0.00023602913680524618
2.6641858513940376e-05,0.00023682407255114273
2.6646542971240755e-05,0.00023761914807035334
2.6651228252212666e-05,0.00023841436338745524
2.6655914357000923e-05,0.0002392097185270281
2.666060128575039e-05,0.0002400052135136579
2.6665289038605932e-05,0.00024080084837193214
2.6669977615712455e-05,0.00024159662312644452
2.6674667017214895e-05,0.00024239253780179395
2.66793572432582e-05,0.00024318859242258124
2.668404829398735e-05,0.00024398478701341382
2.668874016954735e-05,0.0002447811215989012
2.6693432870083233e-05,0.0002455775962036599
2.6698126395740056e-05,0.00024637421085230875
2.6702820746662893e-05,0.00024717096556947036
2.670751592299686e-05,0.0002479678603797749
2.671221192488709e-05,0.0002487649875031872
2.6716908752478734e-05,0.00024960192662824035
2.672160640591698e-05,0.00025043901291204766
2.6726304885347032e-05,0.0002512762463804825
2.6731004190914135e-05,0.00025211362705942613
2.673570432276354e-05,0.00025295115497476095
2.6740405281040537e-05,0.0002537888301523754
2.6745107065890437e-05,0.0002546266526181631
2.6749809677458575e-05,0.00025546462239802055
2.6754513115890314e-05,0.00025630273951785063
2.6759217381331044e-05,0.0002571410040035601
2.6763922473926182e-05,0.00025797941588106063
2.676862839382116e-05,0.00025881797517626537
2.677333514116144e-05,0.0002596566819150967
2.677804271609252e-05,0.0002604955361234791
2.678275111875992e-05,0.0002613345378273421
2.6787460349309172e-05,0.00026217368705261905
2.679217040788584e-05,0.0002630129838252483
2.6796881294635527e-05,0.000263859269933224
2.680159300970385e-05,0.0002647402660161188
2.6806305553236444e-05,0.0002656214170042853
2.6811018925378986e-05,0.00026650272292496143
2.6815733126277174e-05,0.0002673841838053889
2.682044815607672e-05,0.00026826579967281327
2.682516401492338e-05,0.00026914757055448605
2.6829880702962913e-05,0.00027002949647766256
2.6834598220341127e-05,0.0002709115774696046
2.6839316567203842e-05,0.00027179381355757725
2.6844035743696905e-05,0.0002726762047688499
2.68487557499662e-05,0.0002735587511307
2.685347658615761e-05,0.00027444145267040495
2.6858198252417076e-05,0.0002753243094152507
2.6862920748890544e-05,0.00027620732139252717
2.6867644075723997e-05,0.00027709048862952884
2.6872368233063422e-05,0.0002779738111535522
2.687709322105486e-05,0.0002788572889919039
2.6881819039844365e-05,0.00027975782417935665
2.6886545689578014e-05,0.000280684704885603
2.6891273170401908e-05,0.00028161174856499783
2.6896001482462192e-05,0.00028253895524619766
2.690073062590501e-05,0.00028346632495786136
2.6905460600876546e-05,0.0002843938577286549
2.691019140752301e-05,0.0002853215535872489
2.691492304599064e-05,0.00028624941256231924
2.6919655516425694e-05,0.0002871774346825461
2.6924388818974455e-05,0.0002881056199766149
2.6929122953783235e-05,0.0002890339684732162
2.693385792099837e-05,0.0002899624802010458
2.6938593720766228e-05,0.0002908911551888049
2.694333035323319e-05,0.0002918199934651983
2.6948067818545667e-05,0.00029274899505893733
2.6952806116850113e-05,0.0002936781599987383
2.695754524829298e-05,0.0002946074883133213
2.6962285213020773e-05,0.0002955369800314137
2.6967026011179994e-05,0.0002964972372826612
2.6971767642917202e-05,0.00029747188477739783
2.697651010837895e-05,0.0002984467036440984
2.698125340771184e-05,0.00029942169391289635
2.6985997541062482e-05,0.00030039685561392826
2.6990742508577542e-05,0.00030137218877733914
2.6995488310403673e-05,0.0003023476934332742
2.7000234946687586e-05,0.0003033233696118888
2.7004982417576e-05,0.00030429921734334087
2.700973072321566e-05,0.0003052752366577943
2.701447986375334e-05,0.0003062514275854176
2.701922983933585e-05,0.00030722779015638626
2.7023980650110007e-05,0.00030820432440087933
2.7028732296222673e-05,0.00030918103034908393
2.7033484777820717e-05,0.0003101579080311874
2.703823809505104e-05,0.0003111349574773866
2.7042992248060585e-05,0.00031211217871788367
2.70477472369963e-05,0.00031309146916897205
2.7052503062005167e-05,0.0003141216786316156
