time_days,Ir194 top 4
0.00012171756793118869,0.16661158572288437
0.0001217389696194148,0.16674385792159216
0.00012176037507071533,0.16687615337778874
0.00012178178428575181,0.16700847209556288
0.00012180319726518619,0.16714081407900522
0.00012182461400968022,0.1672731793322063
0.00012184603451989593,0.16740556785925725
0.00012186745879649554,0.16753797966425105
0.0001218888868401412,0.1676704147512801
0.00012191031865149533,0.1678028731244385
0.00012193175423122036,0.1679353547878203
0.00012195319357997898,0.16806785974552105
0.00012197463669843376,0.1682003880016359
0.00012199608358724768,0.16833293956026238
0.00012201753424708354,0.16846551442549676
0.00012203898867860453,0.168598112601438
0.00012206044688247371,0.16873073409218386
0.0001220819088593545,0.16886337890183478
0.0001221033746099102,0.16899604703449012
0.00012212484413480444,0.16912873849425147
0.00012214631743470074,0.16926145328521966
0.00012216779451026298,0.16939419141149775
0.00012218927536215496,0.16952836890139028
0.00012221075999104073,0.16966352135988375
0.00012223224839758435,0.16979869758230273
0.0001222537405824501,0.16993389757282643
0.00012227523654630227,0.17006912133563334
0.0001222967362898054,0.17020436887490367
0.000122318239813624,0.17033964019481823
0.00012233974711842275,0.1704749352995578
0.00012236125820486656,0.17061025419330503
0.0001223827730736202,0.1707455968802422
0.0001224042917253489,0.17088096336455355
0.0001224258141607177,0.17101635365042267
0.00012244734038039195,0.17115176774203544
0.00012246887038503695,0.17128720564357658
0.00012249040417531835,0.1714226673592337
0.00012251194175190165,0.171558152893193
0.0001225334831154527,0.17169366224964336
0.0001225550282666373,0.17182919543277272
0.00012257657720612147,0.17196475244677129
0.00012259812993457123,0.17210033329582844
0.00012261968645265297,0.17223593798413592
0.00012264124676103282,0.17237156651588473
0.00012266281086037738,0.1725072188952678
0.00012268437875135314,0.1726428951264778
0.00012270595043462683,0.17277859521370892
0.00012272752591086522,0.17291431916115554
0.00012274910518073526,0.17305006697301337
0.00012277068824490399,0.1731858386534784
0.00012279227510403847,0.17332163420674682
0.0001228138657588061,0.173457453637017
0.00012283546020987415,0.17359329694848658
0.00012285705845791026,0.1737291641453554
0.0001228786605035819,0.17386505523182233
0.000122900266347557,0.1740009702120888
0.0001229218759905032,0.17413724695962107
0.0001229434894330887,0.1742756070872151
0.0001229651066759814,0.1744139915427406
0.00012298672771984964,0.1745524003304758
0.00012300835256536164,0.17469083345469844
0.00012302998121318598,0.17482929091968832
0.0001230516136639911,0.17496777272972444
0.00012307324991844577,0.17510627888908836
0.0001230948899772187,0.1752448094020604
0.00012311653384097893,0.17538336427292364
0.00012313818151039532,0.17552194350595987
0.0001231598329861372,0.1756605471054538
0.0001231814882688737,0.17579917507568896
0.00012320314735927434,0.17593782742095126
0.00012322481025800846,0.1760765041455255
0.00012324647696574585,0.1762152052536995
0.00012326814748315617,0.1763539307497598
0.0001232898218109092,0.1764926806379945
0.00012331149994967508,0.1766314549226931
0.00012333318190012375,0.1767702536081447
0.00012335486766292556,0.17690907669864012
0.00012337655723875069,0.17704792419846985
0.00012339825062826972,0.1771867961119266
0.00012341994783215314,0.17732569244330226
0.00012344164885107168,0.17746461319689094
0.00012346335368569605,0.17760355837698621
0.0001234850623366973,0.17774252798788356
0.00012350677480474633,0.177881522033878
0.00012352849109051442,0.17802054051926666
0.00012355021119467272,0.17815958344834606
0.00012357193511789273,0.17829865082541477
0.0001235936628608459,0.17843774265477091
0.00012361539442420387,0.17857685894071443
0.00012363712980863838,0.17871599968754512
0.0001236588690148213,0.17885516489956438
0.00012368061204342458,0.17899652123072862
0.00012370235889512039,0.17913816298376994
0.0001237241095705809,0.17927982964175299
0.0001237458640704784,0.179421521209056
0.00012376762239548546,0.17956323769005994
0.0001237893845462745,0.17970497908914437
0.00012381115052351836,0.17984674541069154
0.00012383292032788973,0.1799885366590827
0.00012385469396006165,0.18013035283870163
0.00012387647142070703,0.18027219395393101
0.00012389825271049917,0.18041406000915636
0.00012392003783011122,0.18055595100876184
0.00012394182678021672,0.18069786695713436
0.00012396361956148905,0.18083980785865977
0.00012398541617460198,0.18098177371772656
0.00012400721662022914,0.18112376453872212
0.0001240290208990445,0.18126578032603638
0.000124050829011722,0.1814078210840581
0.00012407264095893578,0.18154988681717896
0.00012409445674136,0.18169197752978952
0.00012411627635966913,0.18183409322628272
