time_days,Nuclei:Te129 top 9
0.00011441318998877226,262465.91016658215
0.00011443330734292843,262612.90272512665
0.00011445342823433354,262759.921129454
0.0001144735526636096,262906.9653841089
0.00011449368063137863,263054.0354936363
0.00011451381213826287,263201.13146258285
0.00011453394718488449,263348.2532954945
0.00011455408577186604,263495.40099691995
0.00011457422789982987,263642.5745714068
0.0001145943735693987,263789.774023505
0.0001146145227811952,263936.9993577641
0.00011463467553584227,264084.2505787355
0.00011465483183396274,264231.5276909702
0.00011467499167617978,264378.83069902135
0.00011469515506311643,264526.15960744146
0.00011471532199539607,264673.5144207854
0.00011473549247364202,264820.8951436076
0.00011475566649847781,264968.3017804639
0.00011477584407052696,265115.73433591035
0.0001147960251904133,265263.1928145052
0.00011481620985876053,265410.67722080526
0.00011483639807619268,265558.1875593705
0.00011485658984333367,265705.7238347596
0.0001148767851608078,265853.2860515343
0.00011489698402923923,266001.6235381569
0.00011491718644925229,266150.7896486153
0.00011493739242147157,266299.98198703385
0.00011495760194652154,266449.2005580231
0.000114977815025027,266598.4453661967
0.00011499803165761266,266747.7164161672
0.00011501825184490354,266897.01371254906
0.00011503847558752455,267046.33725995675
0.00011505870288610095,267195.68706300674
0.0001150789337412579,267345.06312631496
0.00011509916815362079,267494.465454499
0.00011511940612381506,267643.89405217685
0.00011513964765246633,267793.3489239678
0.0001151598927402002,267942.83007449104
0.00011518014138764262,268092.33750836813
0.00011520039359541931,268241.8712302194
0.00011522064936415645,268391.4312446679
0.00011524090869448004,268541.0175563362
0.00011526117158701643,268690.6301698486
0.00011528143804239184,268840.26908982906
0.00011530170806123285,268989.93432090385
0.00011532198164416593,269139.62586769863
0.00011534225879181783,269289.3437348409
0.00011536253950481532,269439.0879269586
0.00011538282378378522,269588.85844867997
0.00011540311162935466,269738.65530463523
0.00011542340304215063,269888.4784994538
0.0001154436980228005,270038.32803776796
0.00011546399657193147,270188.2039242089
0.00011548429869017109,270338.10616340983
0.00011550460437814685,270488.034760004
0.00011552491363648651,270637.98971862654
0.0001155452264658177,270787.9710439117
0.00011556554286676847,270937.97874049644
0.00011558586283996672,271088.01281301706
0.00011560618638604063,271239.57781739446
0.00011562651350561832,271391.2558182986
0.00011564684419932825,271542.9604888297
0.00011566717846779873,271694.69183367625
0.00011568751631165844,271846.4498575295
0.00011570785773153594,271998.23456507927
0.00011572820272806009,272150.04596101836
0.00011574855130185966,272301.88405003835
0.0001157689034535638,272453.748836834
0.00011578925918380151,272605.6403260987
0.000115809618493202,272757.5585225275
0.00011582998138239464,272909.5034308168
0.00011585034785200882,273061.4750556628
0.00011587071790267417,273213.47340176377
0.00011589109153502025,273365.49847381737
0.00011591146874967694,273517.55027652375
0.000115931849547274,273669.628814582
0.00011595223392844151,273821.73409269366
0.0001159726218938095,273973.86611555994
0.00011599301344400829,274126.02488788415
0.00011601340857966808,274278.2104143687
0.00011603380730141939,274430.4226997186
0.00011605420960989271,274582.6617486383
0.00011607461550571877,274734.927565834
