time_days,Nuclei:I132 top 2
0.00032135783648573043,77637.03668061263
0.0003214143410671348,77670.19393069344
0.00032147085558378044,77703.35701082148
0.00032152738003741473,77736.52592202212
0.00032158391442978457,77769.70066532034
0.0003216404587626377,77802.88124174184
0.00032169701303772175,77836.06765231211
0.0003217535772567851,77869.25989805705
0.000321810151421576,77902.4579800026
0.00032186673553384344,77935.661899175
0.0003219233295953364,77968.87165660058
0.0003219799336078041,78002.08725330578
0.00032203654757299643,78035.30869031751
0.0003220931714926632,78068.53596866247
0.000322149805368555,78101.7690893679
0.00032220644920242207,78135.00805346096
0.0003222631029960157,78168.25286196916
0.0003223197667510867,78201.50351592003
0.0003223764404693871,78234.76001634158
0.0003224331241526683,78268.02236426147
0.0003224898178026828,78301.29056070816
0.0003225465214211827,78334.56460670983
0.00032260323500992117,78367.84450329511
0.00032265995857065085,78401.13025149253
0.0003227166921051255,78434.42185233124
0.00032277343561509857,78467.71930684007
0.0003228301891023242,78501.02261604843
0.00032288695256855657,78534.33178098562
0.0003229437260155505,78567.64680268137
0.00032300050944506056,78600.96768216537
0.0003230573028588424,78634.2944204677
0.00032311410625865123,78667.6270186184
0.0003231709196462432,78700.96547764791
0.00032322774302337426,78734.48674469806
0.0003232845763918008,78768.19810783643
0.0003233414197532799,78801.91539845201
0.0003233982731095683,78835.63861758682
0.00032345513646242366,78869.36776628342
0.0003235120098136035,78903.10284558426
0.000323568893164866,78936.84385653229
0.0003236257865179693,78970.59080017029
0.0003236826898746723,79004.3436775416
0.00032373960323673354,79038.10248968934
0.0003237965266059127,79071.86723765722
0.00032385345998396897,79105.63792248872
0.0003239104033726626,79139.41454522796
0.0003239673567737533,79173.19710691877
0.000324024320189002,79206.98560860558
0.0003240812936201692,79240.78005133267
0.0003241382770690162,79274.58043614475
0.0003241952705373042,79308.38676408654
0.0003242522740267952,79342.19903620314
0.000324309287539251,79376.01725353958
0.0003243663110764341,79409.84141714132
0.000324423344640107,79443.67152805375
0.0003244803882320329,79477.50758732272
0.0003245374418539749,79511.3495959941
0.00032459450550769646,79545.19755511386
0.0003246515791949618,79579.05146572844
0.0003247086629175348,79612.91132888409
0.0003247657566771803,79646.77714562768
0.00032482286047566284,79680.64891700579
0.00032487997431474773,79714.52664406564
0.00032493709819620027,79748.4103278542
0.00032499423212178647,79782.29996941908
0.000325051376093272,79816.19556980758
0.0003251085301124237,79850.09713006766
0.0003251656941810079,79884.00465124709
0.0003252228683007918,79917.91813439407
0.0003252800524735425,79951.83758055679
0.00032533724670102797,79985.76299078389
0.0003253944509850157,80019.69436612383
0.0003254516653272744,80053.63170762565
0.0003255088897295722,80087.57501633822
0.0003255661241936783,80121.79787291182
0.00032562336872136153,80156.13822191775
0.00032568062331439176,80190.48460899548
0.00032573788797453856,80224.8370352066
0.00032579516270357195,80259.19550161289
0.00032585244750326265,80293.56000927654
0.00032590974237538104,80327.93055925962
0.0003259670473216985,80362.30715262474
0.0003260243623439861,80396.68979043432
0.0003260816874440157,80431.07847375133
0.00032613902262355914,80465.47320363858
0.00032619636788438886,80499.87398115937
0.00032625372322827727,80534.28080737694
0.0003263110886569975,80568.69368335497
0.00032636846417232254,80603.11261015703
0.00032642584977602616,80637.53758884718
0.00032648324546988197,80671.9686204894
0.00032654065125566436,80706.40570614809
0.00032659806713514753,80740.84884688759
0.0003266554931101066,80775.29804377272
0.0003267129291823163,80809.7532978682
0.00032677037535355243,80844.2146102392
0.00032682783162559035,80878.68198195078
0.0003268852980002064,80913.15541406853
0.0003269427744791766,80947.63490765788
0.00032700026106427787,80982.12046378475
0.00032705775775728716,81016.61208351511
0.00032711526455998145,81051.10976791495
0.00032717278147413874,81085.61351805083
0.0003272303085015366,81120.12333498911
0.00032728784564395357,81154.63921979672
0.00032734539290316784,81189.16117354036
0.0003274029502809586,81223.68919728728
0.00032746051777910465,81258.22329210465
0.0003275180953993858,81292.76345906011
0.0003275756831435815,81327.30969922109
0.00032763328101347223,81361.8620136557
0.00032769088901083804,81396.42040343174
0.00032774850713745984,81430.98486961765
0.00032780613539511855,81465.55541328163
0.0003278637737855958,81500.13203549248
0.00032792142231067277,81534.71473731878
0.00032797908097213194,81569.318081382
0.0003280367497717552,81604.30260765093
0.0003280944287113254,81639.29328525739
0.0003281521177926253,81674.29011528275
0.0003282098170174383,81709.29309880901
0.00032826752638754784,81744.30223691801
0.0003283252459047376,81779.31753069186
0.00032838297557079207,81814.33898121303
