Epsilon_beta,Time [Days]
25760564.39771548,17.19737650729429
25745964.70621818,17.200400334475304
25731369.45913105,17.203424693338043
25716778.65637333,17.206449583975992
25702192.297863826,17.209475006482656
25687610.383521006,17.212500960951555
25673032.913262974,17.215527447476187
25658459.887007087,17.218554466150177
25643891.30467064,17.22158201706705
25629327.166170456,17.224610100320398
25614767.471422806,17.22763871600382
25600212.220343743,17.230667864210933
25585661.412848745,17.233697545035373
25571115.048852917,17.236727758570787
25556573.128271196,17.239758504910814
25542035.65101755,17.2427897841492
25527502.61700599,17.24582159637961
25512974.026150044,17.248853941695764
25498449.87836275,17.25188682019139
25483930.173556786,17.25492023196025
25469414.911644362,17.257954177096096
25454904.09253734,17.26098865569271
25440397.71614729,17.264023667843873
25425895.782384906,17.26705921364345
25411398.291160963,17.270095293185246
25396905.2423856,17.27313190656311
25382416.635968633,17.276169053870905
25367932.47181939,17.279206735202518
25353452.749846876,17.282244950651837
25338977.46995957,17.28528370031278
25324588.234682556,17.288322984279286
25310215.945495326,17.29136280264526
25295848.047962476,17.294403155504735
25281484.541998,17.297444042951653
25267125.427515324,17.30048546508002
25252770.70442753,17.303527421983844
25238420.372647196,17.306569913757155
25224074.432086594,17.309612940494002
25209732.88265751,17.312656502288448
25195395.724271502,17.31570059923454
25181062.956839282,17.318745231426433
25166734.580271635,17.321790398958214
25152410.59447867,17.32483610192401
25138090.999370247,17.32788234041797
25123775.79485565,17.330929114534246
25109464.980843935,17.33397642436703
25095158.557243627,17.33702427001051
25080856.52396285,17.3400726515589
25066558.88090953,17.343121569106394
25052265.62799068,17.346171022747306
25037976.765113425,17.34922101257586
25023692.292184256,17.352271538686338
25009412.20910929,17.355322601173036
24995136.515794247,17.35837420013026
24980865.21214443,17.361426335652343
24966598.29806474,17.364479007833626
24952335.773459796,17.367532216768446
24938077.638233393,17.37058596255123
24923823.89228936,17.37364024527636
24909574.535530966,17.376695065038227
24895329.567861058,17.379750421931274
24881088.989182077,17.382806316049933
24866852.799396116,17.385862747488677
24852620.998404756,17.38891971634197
24838393.58610943,17.391977222704288
24824170.562410608,17.39503526667019
24809951.927208934,17.398093848334188
24795737.68040434,17.401152967790814
24781527.821896467,17.404212625134637
24767322.351584516,17.407272820460225
24753121.26936728,17.410333553862174
24738998.803513046,17.413394825435102
24724898.57850837,17.416456635273626
24710802.691946637,17.419518983472365
24696711.14373169,17.422581870126038
24682623.933767486,17.425645295329293
24668541.061957277,17.428709259176824
24654462.52820403,17.431773761763335
24640388.332410257,17.434838803183563
24626318.474478066,17.437904383532246
24612252.954309195,17.44097050290414
24598191.77180512,17.444037161394
24584134.926866423,17.447104359096674
24570082.41939379,17.450172096106947
