# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  1.07343690690682E-004     2.14539320862250E+022     6.91874757799876E+019     2.34401161120300E+019     2.15929303231321E+022     4.39167035295116E+010     1.54232980704708E+007     1.29199331663493E+016     1.43868103613450E+013     6.53265565295360E+004     0.00000000000000E+000
  1.07343691196716E-004     1.06957985964991E+022     2.55405497849331E+019     2.34401142189908E+019     1.07457952586492E+022     4.39231065433182E+010     1.94784884580503E+007     1.29198167107719E+016     1.51036094197928E+013     6.53276164493486E+004     0.00000000000000E+000
  1.07343692208785E-004     3.52413794109780E+021     3.58030044050137E+018     2.34401126824065E+019     3.52297648077376E+021     4.39294318755988E+010     2.52353657889428E+007     1.29204975156937E+016     1.66484437397450E+013     6.53266784426305E+004     0.00000000000000E+000
  1.07343694232922E-004     7.26599864910446E+020    -1.00943523126836E+018     2.34401120914850E+019     7.03916010006169E+020     4.39375312360541E+010     3.39472140492334E+007     1.29224783854753E+016     1.98937077856828E+013     6.53237491584230E+004     0.00000000000000E+000
  1.07343695542541E-004     2.31753205113146E+020    -7.88712575985696E+017     2.34401119540471E+019     2.04276266171846E+020     4.39422924124663E+010     3.91741472575541E+007     1.29238210686716E+016     2.20208845420692E+013     6.53218431935758E+004     0.00000000000000E+000
  1.07343697823870E-004     7.35901262618119E+019     3.29788622410459E+017     2.34401118418752E+019     4.35869076541606E+019     4.39503498458873E+010     4.79948332058392E+007     1.29261824039174E+016     2.57502196970092E+013     6.53186087982731E+004     0.00000000000000E+000
  1.07343702386529E-004     3.85223343078180E+019     1.30013848492760E+018     2.34401117582562E+019     7.29436830714089E+018     4.39663615808185E+010     6.55334881419554E+007     1.29308958468428E+016     3.32456929221745E+013     6.53121579165910E+004     0.00000000000000E+000
  1.07343711511847E-004     3.32612197400280E+019     1.64689977129051E+018     2.34401117399417E+019     1.62441112589225E+018     4.39982408996608E+010     1.00804189224465E+008     1.29402752678144E+016     4.83457991708592E+013     6.52987498351368E+004     0.00000000000000E+000
  1.07343729762483E-004     3.25384973280171E+019     1.73187301803438E+018     2.34401117942577E+019     8.21373823474467E+017     4.40614305863279E+010     1.72275951759012E+008     1.29588627813239E+016     7.89501666293608E+013     6.52695140386825E+004     0.00000000000000E+000
  1.07343766263754E-004     3.24218037073130E+019     1.73599111513228E+018     2.34401119392757E+019     6.96127010845491E+017     4.41854843884394E+010     3.18669716427484E+008     1.29953529819536E+016     1.41637758527852E+014     6.52016479960054E+004     0.00000000000000E+000
  1.07343839266297E-004     3.24044274264875E+019     1.73410861697074E+018     2.34401122398761E+019     6.78030372302225E+017     4.44240602576308E+010     6.22865725728491E+008     1.30655295702624E+016     2.71898784310943E+014     6.50320829359535E+004     0.00000000000000E+000
  1.07343985271382E-004     3.24031884125711E+019     1.73137560491979E+018     2.34401128430948E+019     6.76203465013199E+017     4.48621946111783E+010     1.25916318846325E+009     1.31944055863117E+016     5.44370753894396E+014     6.45868448817162E+004     0.00000000000000E+000
