time_days,Ir194 top 1
0.047119133561731114,50092.392351737755
0.04712741855315113,50101.1712728977
0.047135705001327195,50109.95173704283
0.04714399290651537,50118.73374444413
0.04715228226897201,50127.517295372905
0.04716057308895325,50136.30239010026
0.04716886536671539,50145.08902889741
0.047177159102514736,50153.87721203566
0.047185454296607664,50162.6669397863
0.04719375094925058,50171.45821242073
0.047202049060699955,50180.25103021034
0.04721034863121219,50189.04539342656
0.04721864966104401,50197.841302341025
0.04722695215045193,50206.63875722526
0.047235256099692584,50215.43775835084
0.04724356150902265,50224.238305989435
0.04725186837869886,50233.04040041275
0.04726017670897799,50241.84404189253
0.047268486500116856,50250.64923070061
0.047276797752372327,50259.45596710881
0.04728511046600122,50268.26425138893
0.04729342464126066,50277.074083813095
0.04730174027840757,50285.88447631039
0.04731005737769899,50294.69446491398
0.047318375939392004,50303.50600196076
0.04732669596374375,50312.31908772276
0.04733501745101142,50321.1337224721
0.04734334040145223,50329.9499064809
0.04735166481532336,50338.76764002129
0.047359990692882305,50347.58692336564
0.047368318034386334,50356.40775678618
0.047376646840092865,50365.23014055521
0.04738497711025933,50374.054074945125
0.04739330884514325,50382.87956022838
0.047401642045002156,50391.7065966774
0.04740997671009362,50400.535184564746
0.04741831284067531,50409.36532416297
0.04742665043700479,50418.19701574461
0.04743498949933997,50427.03025958251
0.04744333002793852,50435.86505594929
0.047451672023058264,50444.70140511771
0.04746001548495706,50453.539307360574
0.04746836041389282,50462.37876295077
0.04747670681012346,50471.21977216118
0.047485054673907026,50480.06233526473
0.047493404005501436,50488.9064525344
0.04750175480516496,50497.752124243365
0.04751010707315565,50506.59935066466
0.047518460809731676,50515.44813207142
0.047526816015151255,50524.29846873683
0.04753517268967267,50533.150360934145
0.04754353083355421,50542.00380893663
0.047551890447054275,50550.85881301767
0.04756025153043114,50559.71537345051
0.04756861408394344,50568.573490508796
0.047576978107849596,50577.43316446591
0.04758534360240814,50586.294395595374
0.04759371056787766,50595.157184170785
0.04760207900451678,50604.021530465725
0.047610448912584175,50612.8874347539
0.04761882029233859,50621.75489730904
0.04762719314403877,50630.623918404905
0.047635567467943445,50639.49449831521
0.047643943264311664,50648.36663731401
0.047652320533402216,50657.240335675124
0.047660699275474075,50666.11559367252
0.04766907949078623,50674.99241158021
0.04767746117959771,50683.870789672226
0.04768584434216762,50692.74913228923
0.04769422897875508,50701.62766939284
0.047702615089619184,50710.50776698253
0.04771100267501933,50719.389425332665
0.0477193917352147,50728.27264471735
0.047727782270464605,50737.15742541083
0.04773617428102841,50746.04376768738
0.04774456776716551,50754.93167182141
0.047752962729135366,50763.82113808728
0.04776135916719748,50772.712166759484
0.0477697570816113,50781.60475811237
0.04777815647263657,50790.49891242069
0.047786557340532866,50799.394629958944
0.04779495968555986,50808.29191100179
0.047803363507977266,50817.190755823874
0.047811768808044865,50826.091164699974
0.04782017558602247,50834.993137904865
0.04782858384216994,50843.896675713375
0.047836993576747186,50852.80177840035
0.04784540479001407,50861.708446240715
0.04785381748223077,50870.61667950954
0.04786223165365725,50879.52647848183
0.047870647304553586,50888.43784343261
0.047879064435179926,50897.35077463704
0.047887483045796445,50906.26527237027
0.047895903136663365,50915.18133690752
0.04790432470804097,50924.09896852404
0.0479127477601895,50933.018167495095
0.04792117229336948,50941.938934096215
0.047929598307841235,50950.86126860273
0.04793802580386522,50959.78517129009
0.047946454781701946,50968.7106424338
0.047954885241611955,50977.637682309425
0.04796331718385585,50986.566291192576
0.04797175060869426,50995.49646935891
0.04798018551638787,51004.4282170841
0.04798862190719734,51013.36153464385
0.0479970597813836,51022.29642231411
0.048005499139207396,51031.232880370655
0.04801393998092961,51040.17090908935
0.04802238230681113,51049.110508746206
0.04803082611711293,51058.05167961715
0.048039271412096025,51066.994421978256
0.04804771819202146,51075.93873610562
0.04805616645715025,51084.88462227528
0.0480646162077437,51093.83176047335
0.048073067444062936,51102.777808395316
0.04808152016636918,51111.725428664075
0.04808997437492371,51120.67462155586
0.04809843006998785,51129.62538734693
0.048106887251823,51138.577726313655
0.04811534592069057,51147.53163873241
0.048123806076851926,51156.487124879546
0.04813226772056876,51165.44418503173
0.04814073085210255,51174.40281946539
0.04814919547171488,51183.3630284571
0.04815766157966743,51192.32481228351
0.04816612917622187,51201.28817122129
0.04817459826163995,51210.25310554716
0.048183068836183465,51219.21961553791
0.04819154090011424,51228.18770147035
0.04820001445369408,51237.15736362126
0.048208489497185064,51246.12860226775
0.0482169660308491,51255.1014176867
0.0482254440549482,51264.07581015513
0.048233923569744416,51273.05177995008
0.04824240457549987,51282.02932734869
0.048250887072476725,51291.00845262813
0.04825937106093716,51299.98915606559
0.04826785654114336,51308.97143793826
0.04827634351335778,51317.95529852361
0.048284831977842675,51326.94073809892
0.04829332193486044,51335.9277569416
0.04830181338467351,51344.91635532911
0.04831030632754434,51353.906533538924
0.04831880076373549,51362.89829184864
0.048327296693509506,51371.89163053583
0.04833579411712893,51380.886549878065
0.04834429303485659,51389.88305015322
0.04835279344695513,51398.88113163895
0.04836129535368729,51407.88079461306
0.04836979875531588,51416.88203935338
0.04837830365210373,51425.884866137836
0.048386810044313756,51434.88927524435
0.04839531793220889,51443.895266950916
0.04840382731605212,51452.90284153556
0.0484123381961064,51461.9119992763
0.048420850572634976,51470.92274045147
0.04842936444590089,51479.935065339116
0.04843787981616731,51488.94897421754
0.04844639668369746,51497.96435949445
0.04845491504875461,51506.97843280609
0.04846343491160206,51515.99409041544
0.04847195627250316,51525.011332600836
0.048480479131721266,51534.030159640555
0.048489003489519955,51543.05057181322
0.04849752934616266,51552.07256939724
0.04850605670191292,51561.09615267115
0.04851458555703433,51570.12132191352
0.04852311591179052,51579.14807740298
0.04853164776644517,51588.176419418225
0.048540181121262,51597.20634823797
